iter	Passed	Remaining
0	26	26660
1	40	19975
2	50	16941
3	65	16226
4	77	15503
5	92	15280
6	103	14683
7	114	14248
8	126	13937
9	138	13711
10	153	13766
11	165	13646
12	179	13622
13	191	13505
14	203	13394
15	214	13186
16	226	13075
17	237	12940
18	247	12802
19	258	12674
20	269	12571
21	281	12516
22	292	12420
23	303	12345
24	314	12266
25	325	12192
26	336	12127
27	347	12049
28	357	11984
29	369	11933
30	379	11870
31	392	11877
32	403	11825
33	414	11771
34	425	11730
35	436	11681
36	447	11651
37	458	11618
38	469	11579
39	480	11539
40	493	11535
41	505	11531
42	517	11518
43	528	11483
44	540	11460
45	551	11445
46	563	11420
47	575	11417
48	588	11412
49	600	11416
50	612	11406
51	624	11392
52	636	11366
53	646	11330
54	657	11294
55	668	11274
56	679	11242
57	690	11215
58	701	11195
59	714	11191
60	725	11162
61	735	11133
62	746	11101
63	757	11071
64	768	11049
65	779	11028
66	789	11001
67	801	10981
68	812	10960
69	824	10953
70	835	10934
71	846	10907
72	856	10879
73	867	10858
74	879	10843
75	889	10818
76	900	10799
77	912	10784
78	923	10766
79	934	10743
80	945	10724
81	957	10722
82	969	10706
83	979	10684
84	991	10668
85	1001	10646
86	1013	10638
87	1025	10627
88	1036	10606
89	1046	10584
90	1058	10569
91	1069	10559
92	1083	10564
93	1100	10604
94	1116	10637
95	1134	10687
96	1151	10721
97	1168	10755
98	1185	10789
99	1202	10820
100	1219	10851
101	1236	10888
102	1253	10918
103	1272	10966
104	1289	10990
105	1306	11021
106	1323	11049
107	1341	11082
108	1359	11111
109	1377	11146
110	1395	11176
111	1413	11205
112	1431	11239
113	1451	11278
114	1473	11336
115	1492	11372
116	1512	11412
117	1530	11437
118	1551	11485
119	1571	11526
120	1589	11543
121	1607	11565
122	1624	11579
123	1644	11614
124	1662	11636
125	1680	11655
126	1697	11668
127	1715	11685
128	1732	11698
129	1752	11730
130	1769	11738
131	1787	11751
132	1804	11762
133	1821	11771
134	1837	11775
135	1856	11793
136	1873	11802
137	1892	11819
138	1910	11835
139	1927	11841
140	1943	11842
141	1963	11864
142	1982	11882
143	2001	11896
144	2019	11907
145	2035	11908
146	2054	11921
147	2071	11924
148	2089	11933
149	2106	11938
150	2124	11942
151	2140	11940
152	2157	11942
153	2175	11953
154	2194	11964
155	2212	11971
