,DAT,obs_time,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,Case,6time,diff_temp,dark,water,내부온도관측치 1,내부습도관측치 1,co2관측치 1,ec관측치 1,시간당분무량 1,시간당백색광량 1,시간당적색광량 1,시간당청색광량 1,시간당총광량 1,내부온도관측치 3,내부습도관측치 3,co2관측치 3,ec관측치 3,시간당분무량 3,시간당백색광량 3,시간당적색광량 3,시간당청색광량 3,시간당총광량 3,내부온도관측치 std,내부습도관측치 std,co2관측치 std,ec관측치 std,시간당분무량 std,시간당백색광량 std,시간당적색광량 std,시간당청색광량 std,시간당총광량 std,내부온도관측치 mid,내부습도관측치 mid,co2관측치 mid,ec관측치 mid,시간당분무량 mid,시간당백색광량 mid,시간당적색광량 mid,시간당청색광량 mid,시간당총광량 mid,"('co2관측치', 1.0)","('co2관측치', 2.0)","('co2관측치', 3.0)","('co2관측치', 4.0)","('ec관측치', 1.0)","('ec관측치', 2.0)","('ec관측치', 3.0)","('ec관측치', 4.0)","('내부습도관측치', 1.0)","('내부습도관측치', 2.0)","('내부습도관측치', 3.0)","('내부습도관측치', 4.0)","('내부온도관측치', 1.0)","('내부온도관측치', 2.0)","('내부온도관측치', 3.0)","('내부온도관측치', 4.0)","('시간당백색광량', 1.0)","('시간당백색광량', 2.0)","('시간당백색광량', 3.0)","('시간당백색광량', 4.0)","('시간당분무량', 1.0)","('시간당분무량', 2.0)","('시간당분무량', 3.0)","('시간당분무량', 4.0)","('시간당적색광량', 1.0)","('시간당적색광량', 2.0)","('시간당적색광량', 3.0)","('시간당적색광량', 4.0)","('시간당청색광량', 1.0)","('시간당청색광량', 2.0)","('시간당청색광량', 3.0)","('시간당청색광량', 4.0)","('시간당총광량', 1.0)","('시간당총광량', 2.0)","('시간당총광량', 3.0)","('시간당총광량', 4.0)","('일간누적백색광량', 1.0)","('일간누적백색광량', 2.0)","('일간누적백색광량', 3.0)","('일간누적백색광량', 4.0)","('일간누적분무량', 1.0)","('일간누적분무량', 2.0)","('일간누적분무량', 3.0)","('일간누적분무량', 4.0)","('일간누적적색광량', 1.0)","('일간누적적색광량', 2.0)","('일간누적적색광량', 3.0)","('일간누적적색광량', 4.0)","('일간누적청색광량', 1.0)","('일간누적청색광량', 2.0)","('일간누적청색광량', 3.0)","('일간누적청색광량', 4.0)","('일간누적총광량', 1.0)","('일간누적총광량', 2.0)","('일간누적총광량', 3.0)","('일간누적총광량', 4.0)"
DAT,1.0,,-0.10216251289607382,0.5034260720749467,-0.1911578629524737,0.02134096937945689,0.09190071036150291,0.09190071036150288,-0.07750456022248113,-0.07750456022248117,-0.033900130785001543,-0.03390013078500144,0.14902296378915186,0.14902296378915228,-0.03859316138573035,-0.0385931613857302,0.7221899758996101,5.450327811249186e-16,,-0.10196931713918868,-0.014393547791523095,0.18277570622242725,-0.05589951868794869,0.5435381761240563,-0.3071789947744832,-0.01188865053049996,0.127375686448177,0.05396338446270731,-0.0824894050928886,0.13579307615077424,0.026681589694069807,-0.13219711470922807,0.43554743705639926,-0.10875400948200889,0.0509579603260289,0.04488605550835171,-0.11154504909935863,0.0017573047701474214,0.12715690897530546,-0.09076712046128424,-0.08244065741610022,-0.42904978984703235,0.15505200856801785,0.16379761913094504,-0.05199550145322229,-0.12097122672666272,0.018227542655974625,0.10511270364013482,-0.08750712724545585,-0.08396879496544739,0.5053180961186172,-0.20333889612182812,0.030346646069047377,0.05813268652849231,0.018567851572513363,-0.044112518112570186,0.1260042249699178,0.04188446574366365,0.07559049502200052,0.02418181799287873,-0.09365452874639887,0.0074783516255863955,-0.2935806627960291,-0.2809331027568196,-0.2805328958473032,-0.28411525954226496,-0.2994898883601341,-0.21451052093513448,-0.19357208738666948,-0.2973513113527581,0.42649754443732896,0.43646547402302716,0.2818541212761825,0.4380483341224596,-0.04219952299463335,0.07141012250390781,0.08976020739292108,-0.1279303912971544,0.03881677528228982,0.04999512303909858,-0.004111126863588615,0.025331271210033507,-0.029799171526602223,-0.01353252182738663,-0.0764372348951827,-0.03168026956977856,-0.03248951107990381,-0.07407194548759398,-0.1348336373108346,0.01679583605017635,-0.03778595104526603,0.04430745338009138,0.02082914017392844,-0.08287939769744525,-0.042199522994633275,0.04627787697028413,0.07892240562301539,0.06390589946742162,0.027454555418039497,0.054994052266565,0.03621735917686991,0.02638429307158021,-0.02853807908616353,-0.019608476447101845,-0.03609442779484972,-0.04320132795678902,-0.015872472523348634,-0.04078178892374681,-0.10267352463770975,-0.08741445256639048,-0.026879784397461134,-0.0024649181807290363,0.025211589502439822,0.00735690231693808
obs_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내부온도관측치,-0.10216251289607382,,1.0,-0.04161267622052412,-0.04633759451429339,-0.18775003838273177,-0.05746378609732794,-0.05746378609732707,-0.07863038289417103,-0.07863038289417068,-0.019511423164438917,-0.019511423164438668,-0.12655371755496256,-0.1265537175549626,-0.17618848554399422,-0.17618848554399474,-0.13966197374454356,0.44291473965255945,,-0.15263062995012439,-0.013401050653536327,-0.02345456623800149,0.9293688879823825,0.02490149002235802,0.16184713483821517,-0.17230532999349146,0.12604278498551427,-0.2126536665297662,-0.001678274169333058,-0.042780997968866544,-0.03252124116389437,0.9189396956995034,-0.11308592948957004,-0.14826752147893532,-0.1919234268608135,-0.09308042715227786,-0.07059002202734856,-0.022288397489943844,-0.16597538161404568,-0.17640167517587838,-0.2373901279253694,-0.32686199159945784,-0.3376420905421105,-0.06099953261920824,-0.18293222372000123,-0.06386570395946024,-0.04653790685153966,-0.17757271812377043,-0.15631796197037484,0.9640908214978336,-0.05101667176004173,-0.06807802087112412,-0.19156138530084676,-0.0656270895164633,-0.07674893424990424,0.013213753455275373,-0.01699495954992184,-0.07979066586684909,-0.05712265663189098,-0.17644060931106956,-0.06932412990756183,-0.0382889187643444,0.019297612346261858,0.008909525022637125,0.0007132648957777964,0.0031405023393266994,0.2513250562637477,0.32251071187024355,0.32092247798875306,0.2622925143503294,-0.03058552985048391,-0.05194555234663713,-0.06313431598037374,-0.04709137145934441,0.07785418519746048,-0.00697805598116445,-0.04350022244453179,0.05088035687376729,0.04837906288446488,0.0077143264391894015,0.01050765559173842,0.023556622837509505,0.00934995354268867,0.020851494242325862,0.039297925639403125,0.008442613149954346,0.05433776233893141,0.087546040765912,0.07073148404165897,0.04443523093845687,0.0361532316799964,0.04111183847099313,-0.007428132773576361,0.055359539601511874,0.07785418519746039,0.006615357263410028,-0.023060672405909092,-0.019882389557893617,0.04131309871571176,0.03129831142387514,0.021312280202271796,0.02151675537919946,0.031466597677392565,0.013716210743404858,0.02262307310366535,0.02727596387262447,0.05977603455583939,0.0744735000781971,0.08739908986211871,0.08630844441352599,0.05109840058880661,0.07476334135172717,0.030695288963650657,0.035350407911724564
내부습도관측치,0.5034260720749467,,-0.04161267622052412,1.0,-0.1620026894598264,0.14142461408289686,0.011773859793732182,0.011773859793731809,-0.003454427911722108,-0.003454427911722274,0.04695559209354609,0.046955592093546016,0.1640260156848847,0.16402601568488479,0.11438086651883489,0.1143808665188351,0.45058224342931713,-0.25334521403224397,,-0.22754734269489396,0.0864044693165869,0.27196422197883907,0.010753077608211935,0.9848022498497987,-0.2659272908175561,0.09378865497737919,0.06472375466915457,-0.19542346271306021,0.05259973693037692,0.19520683728817098,0.09052307813565376,-0.074857241966524,0.9782374975505196,-0.09423064343386593,0.17765395133539358,-0.022540406415959172,-0.04012080889381101,0.02805952901838689,0.11736146115957288,0.02176223678919776,-0.16642367767719599,-0.3543813335694506,0.15661029582435318,0.21508852023951794,-0.05900826119163798,-0.026032066333443037,0.019249778697853926,0.08645515098308129,0.03112629520617177,-0.02677069910908448,0.9934641630517344,-0.1952558828146728,0.15303525169953416,0.010688057014026807,0.1534939626499791,0.08035364735569882,0.17876097034802976,0.211725795466733,0.03125800235281384,0.057249560618978984,-0.05981293230940997,-0.0361417067431441,-0.18919644895649235,-0.17863250170271863,-0.17638664619569214,-0.18202257184036152,-0.22290480928125497,-0.20819432126709952,-0.18832458906897953,-0.229140236613803,0.2519193040911276,0.28829930803487575,0.21367504938564696,0.3389518727160903,-0.0024782954268095015,0.06612061656194164,0.08905548966733406,-0.040272279191412845,-0.04071445069742426,-0.015210048989261829,-0.05410129730886382,-0.00955754722941501,0.012977499443813635,0.014052841108132317,-0.0303444819725374,0.029609750443766535,-0.040324053314254885,-0.07446691865518651,-0.10638080392153301,0.001075897619375087,-0.013526441886598385,0.05255861940546023,0.04682279086967539,-0.0030645006895445525,-0.002478295426809517,0.05032123430423471,0.07597969955900388,0.07172921069872014,-0.056493445365834755,-0.02455927352817866,-0.03371277118386875,-0.03553140455221799,0.003763690474442876,0.019018172988214444,0.002973355308585176,0.0044900129986012016,-0.02938350635608727,-0.050014306835094405,-0.09351049711526005,-0.08110889249870372,-0.012433532894992142,0.02965228298434783,0.05177131806694526,0.049412180565118244
co2관측치,-0.1911578629524737,,-0.04633759451429339,-0.1620026894598264,1.0,-0.09046791546201899,-0.46389890032689474,-0.4638989003268936,0.2907993819500577,0.29079938195005745,-0.2349930722468952,-0.2349930722468955,-0.1311049749297906,-0.1311049749297905,0.12674026792129728,0.12674026792129717,-0.367430885802122,-0.013143912895417942,,0.1237067533548447,-0.29012414612556964,-0.1253130046933122,-0.16328548259879427,-0.1906758158021834,0.8650266287031978,-0.05582129979619013,-0.31290610904847305,-0.08926121172593468,-0.29090608880991103,-0.22398108788288976,-0.4403131060124235,0.01233199033043091,-0.11036359968031279,0.9571274653644636,-0.1161857347006544,-0.4775754849339732,0.31241869064624483,-0.21068225745816585,-0.09894914116438787,0.3195761958083462,0.15873447334549523,0.1707945904705302,0.5617890399613691,-0.15951960058358788,-0.4260703940305303,0.3208556067953835,-0.1671519528000156,-0.07525425774837362,0.363991831046683,-0.06841754456230742,-0.18250029175410984,0.9754339355700311,-0.10380041487833461,-0.44564297051873303,0.21010148845689436,-0.1295486572584116,-0.013595832539999386,0.04525924703060838,-0.017019069730807263,0.019222777566537924,0.04135986145859341,0.0026662625575446675,0.025230905676241838,0.027682068205826547,0.03271965224013993,0.029373631004723077,0.004604945660018135,-0.02150465743612316,-0.02482839655125045,-0.011543721031964379,-0.07308638287965817,-0.07277493495472497,-0.05918339994450864,-0.12623832765975723,0.022815855113085422,-0.06871195069840441,-0.03538337758826522,0.006676957914702737,-0.03829435460316923,-0.04626550066162923,0.009776243638435255,-0.02679530707321568,-0.029755368253411203,-0.025674629042365914,0.012912329112009525,-0.003154325500256918,0.026066932363493334,0.02311025474604144,0.02759444594635005,-0.0005049532386151446,-0.005526625290801639,-0.08420087334025111,-0.023274732968140477,0.001460397392493716,0.02281585511308543,-0.07335556184777177,-0.05449534079390228,-0.04806553187468738,-0.032167161616930326,-0.044594049427071035,-0.03140169151478042,-0.023853920107238274,-0.028695335774367437,-0.03187073873615339,-0.01868574425477219,-0.013683093879250974,0.02124715770955913,0.02227089294051713,0.03245989114342635,0.025383210104392196,-0.00813943248877375,-0.08490671650450467,-0.06615234588206141,-0.053966207410303765
ec관측치,0.02134096937945689,,-0.18775003838273177,0.14142461408289686,-0.09046791546201899,1.0,0.09423880070663558,0.09423880070663523,-0.32051431125378155,-0.32051431125378177,0.3005139072827696,0.3005139072827693,0.1621535578478706,0.16215355784787067,-0.1022935451462139,-0.10229354514621396,0.18928672563246032,-0.2910777755869166,,0.11117044015573091,0.41372242538350357,0.41995074524611836,-0.1108425448958283,0.10603225984907684,-0.1207361518053982,0.971827077032459,0.1992026701707348,0.05085236128797505,0.25320300108141885,0.11382024397198921,0.3054471667898804,-0.18454280361428618,0.17990161211730982,-0.06586293077882709,0.9795147417356229,0.07183787134603081,-0.3440462712805007,0.28385453387110715,0.17168542488308497,-0.244958768692589,0.07538951289995814,0.1916809716438584,0.014649659075800153,0.0685754758805899,0.0400331477672169,-0.35048376959324123,0.25489394382815267,0.1636294296054698,-0.28230745206800906,-0.12495292173131113,0.14022498382378484,-0.07996647452914911,0.9890513477684262,0.053652325552082956,-0.16849127810287748,0.21221535823042603,0.0652388558580037,0.008003374581959762,-0.0127920066963445,0.06029583695800672,0.05185613592826962,-0.006814673620081706,-0.04129476154688156,-0.04033029810732435,-0.04441147449700815,-0.03233465421363213,-0.16604213924254554,-0.19681327652498698,-0.18367361249773984,-0.1674788168747601,-0.031632063461872396,0.003855738142392332,0.04550458826117763,0.021737320664196657,-0.014235267589694562,0.009559430605263906,0.023768763591000417,0.006441490743634566,-0.05522838267213852,-0.013974228974764781,-0.023541213507185632,-0.01254037653190606,0.05640140259674094,0.031287144002208674,0.01901824511774788,0.0793209400978875,-0.01471641218872034,-0.037808521556512764,-0.031065308172280835,0.0115005360223023,0.02957131897704477,0.01130583798668812,0.021628876488777492,0.05948316534434374,-0.014235267589694586,0.005134593977995899,0.01576240075615906,0.017336174864008517,-0.0616182672449735,-0.03975718820896644,-0.03109748540476397,-0.027656809149597655,0.04604248452569479,0.05007517067120284,0.03832667990663952,0.046414159916277606,-0.012747181204033807,-0.024612896824755627,-0.036998631570214026,-0.028957470300065766,0.02389535091042068,0.032061480222164464,0.026183223422186427,0.03539503159118327
시간당분무량,0.09190071036150291,,-0.05746378609732794,0.011773859793732182,-0.46389890032689474,0.09423880070663558,1.0,0.9999999999999996,-0.3655268879985947,-0.3655268879985945,0.2087371543068855,0.20873715430688558,0.10227961990150627,0.10227961990150629,-0.250965707917958,-0.2509657079179574,0.33778842870170855,0.026900160685523228,,0.11145530968509358,0.26904638682448656,0.29394625379965106,0.04483899521110498,0.016984309105755185,-0.4354130332148795,0.062006424048073695,0.7171458860106367,0.1260271282950112,0.3134215572049745,0.231673895735763,0.40330424085641586,-0.026580235906038932,-0.004016561434273532,-0.4501592621182726,0.12180747383478938,0.9614601710935149,-0.37806985427447226,0.15434200639264614,0.08627438017737185,-0.40533260426079276,0.0930896826398755,0.03293228863733457,-0.20752355447696452,0.17235759254347502,0.7237440153429935,-0.39072212159737857,0.10984105640867144,0.0649658211133568,-0.4400068356507677,-0.07111093716653363,0.042502481004959264,-0.4487182012122133,0.10624612254185563,0.9462525303130123,-0.29136336176827354,0.10114019851145677,-0.04319074725149685,-0.17232697288257606,-0.02226656489080546,-0.03848375726592675,-0.02100162664721017,-0.006743178540437025,-0.014212209173524268,-0.01564054935715887,-0.03983192405065792,-0.03526721155596123,-0.04634279393512137,-0.03349649254464611,-0.027842372106532336,-0.02218749225546612,-0.02146827717742548,-0.0035911260129565113,0.03578823751527985,0.080250435485019,-0.027322603947415744,0.06886628383924132,0.05046319053887171,0.02800197821858502,-0.03367796356462563,-0.02554095457476796,-0.0398710540041529,0.015730050827826924,0.01644711421236759,0.029592325054641974,0.007812949414790622,0.02469392781236471,-0.04260777398633457,-0.009168024213573104,-0.023655673870442345,-0.023674541170617187,-0.01246625968256589,0.09255087023332914,0.048242464854687465,0.019604010911036984,-0.027322603947415747,0.0730231728982027,0.0609202487536892,0.06014819438559112,-0.04093139866395599,-0.029091465567531782,-0.03451229530783948,-0.028195622118849618,0.02004887742234781,0.026779369972551117,0.021897354773547636,0.024104442062679567,-0.043426392195446625,-0.024329827397236832,-0.027044410307151764,-0.025707635430446907,-0.00882194916145439,0.07841888010282577,0.07946762147167828,0.07483221401014575
일간누적분무량,0.09190071036150288,,-0.05746378609732707,0.011773859793731809,-0.4638989003268936,0.09423880070663523,0.9999999999999996,1.0,-0.3655268879985945,-0.36552688799859445,0.20873715430688544,0.2087371543068849,0.10227961990150598,0.10227961990150584,-0.2509657079179579,-0.25096570791795725,0.33778842870170717,0.026900160685524515,,0.1114553096850937,0.26904638682448645,0.2939462537996498,0.04483899521110541,0.01698430910575494,-0.43541303321487873,0.06200642404807329,0.7171458860106353,0.12602712829501064,0.31342155720497455,0.2316738957357626,0.403304240856415,-0.02658023590603844,-0.0040165614342740135,-0.450159262118272,0.121807473834789,0.9614601710935136,-0.3780698542744724,0.15434200639264625,0.08627438017737143,-0.4053326042607927,0.09308968263987531,0.032932288637334224,-0.2075235544769648,0.17235759254347457,0.7237440153429918,-0.39072212159737774,0.10984105640867137,0.06496582111335658,-0.4400068356507673,-0.07111093716653279,0.04250248100495894,-0.4487182012122125,0.10624612254185536,0.9462525303130088,-0.2913633617682728,0.10114019851145703,-0.04319074725149671,-0.172326972882576,-0.022266564890805515,-0.038483757265927246,-0.021001626647210534,-0.006743178540437126,-0.014212209173524315,-0.01564054935715883,-0.03983192405065799,-0.035267211555961145,-0.04634279393512091,-0.03349649254464544,-0.027842372106531774,-0.022187492255465457,-0.021468277177425478,-0.0035911260129565994,0.03578823751527964,0.08025043548501887,-0.027322603947415716,0.06886628383924118,0.05046319053887152,0.028001978218585043,-0.03367796356462542,-0.025540954574767825,-0.03987105400415278,0.01573005082782698,0.016447114212367605,0.029592325054641988,0.007812949414790587,0.024693927812364562,-0.042607773986334384,-0.00916802421357289,-0.023655673870442158,-0.023674541170616986,-0.012466259682565777,0.09255087023332911,0.04824246485468724,0.019604010911036984,-0.027322603947415723,0.07302317289820263,0.060920248753689024,0.060148194385590936,-0.04093139866395578,-0.029091465567531612,-0.03451229530783933,-0.02819562211884946,0.02004887742234776,0.026779369972551044,0.02189735477354762,0.024104442062679487,-0.04342639219544643,-0.024329827397236645,-0.027044410307151583,-0.02570763543044668,-0.008821949161454328,0.07841888010282569,0.07946762147167809,0.07483221401014557
시간당백색광량,-0.07750456022248113,,-0.07863038289417103,-0.003454427911722108,0.2907993819500577,-0.32051431125378155,-0.3655268879985947,-0.3655268879985945,1.0,1.0,-0.6040783860491314,-0.604078386049131,-0.43140017889768156,-0.431400178897681,0.5839936677824468,0.583993667782446,-0.3472174379054683,0.06097301780612388,,0.03337583039225584,-0.9362050860435405,-0.34726483979085926,-0.2788297891784177,0.012034107294226144,0.25946104806765663,-0.2873124477313519,-0.5080592500476866,0.2500919035178117,-0.5372120010313516,-0.42765436227412146,-0.7511886420889583,0.06122281280566352,-0.018166755345094147,0.29563720002151894,-0.335750018909024,-0.3405400801941055,0.9686519191427299,-0.6198161811477012,-0.4130375971088918,0.8129612426485462,0.21521550704828643,-0.2136493480056327,0.134330623003382,-0.1275015482984367,-0.22600355256980748,0.9677084279310698,-0.5633910880436314,-0.3778766307455605,0.8500886617446508,-0.11606087383154906,-0.02641342705066616,0.2776692850702847,-0.32064433467473924,-0.2683415444193226,0.8226630153696923,-0.36953175971420504,-0.17515929148748421,0.3787200624666964,-0.026006323597271237,-0.028047482910052317,-0.05788538463575852,-0.04025807307080934,0.015827422085041603,0.012569375589386688,0.023538142918603157,0.01526429292182268,0.05905841974655639,0.06549011319533705,0.07512108219373131,0.06971909792800485,0.00780653693708984,0.007016585005493467,-0.04251412237321984,-0.048289758592620746,0.03105931264801167,-0.07173049792513517,-0.07720994890764735,-0.018668752342571423,0.08213279394522073,0.05009059199101986,0.05158936056560417,0.045921735431061456,-0.01734304997070693,-0.012379115394781516,-0.001020573335725694,-0.007818435101677922,0.06822212594061286,0.04326269439919292,0.03575989011760174,0.061242437763569094,0.025965983889485636,-0.0718883890236085,-0.06991143869400436,0.014671083423218637,0.03105931264801164,-0.0679451480233568,-0.07402934130662063,-0.07446276117460995,0.08732034447063762,0.07323256951216382,0.06502303407031533,0.061794637535781224,-0.023899667436469933,-0.017307843274523685,-0.00995319218856195,-0.011349713711495724,0.06578185095106098,0.059260869829120676,0.05641914890296699,0.05851925551647033,0.01763046181799149,-0.038639983675666095,-0.07328767685903675,-0.06806688446497258
일간누적백색광량,-0.07750456022248117,,-0.07863038289417068,-0.003454427911722274,0.29079938195005745,-0.32051431125378177,-0.3655268879985945,-0.36552688799859445,1.0,1.0,-0.6040783860491303,-0.60407838604913,-0.4314001788976806,-0.4314001788976813,0.5839936677824457,0.583993667782445,-0.34721743790546816,0.060973017806124706,,0.03337583039225568,-0.9362050860435409,-0.3472648397908593,-0.2788297891784169,0.012034107294225958,0.2594610480676564,-0.2873124477313518,-0.5080592500476866,0.25009190351781185,-0.5372120010313505,-0.427654362274121,-0.7511886420889585,0.06122281280566379,-0.01816675534509435,0.2956372000215185,-0.3357500189090244,-0.3405400801941059,0.968651919142729,-0.6198161811476999,-0.4130375971088928,0.812961242648546,0.21521550704828638,-0.21364934800563262,0.1343306230033819,-0.12750154829843685,-0.22600355256980764,0.9677084279310686,-0.5633910880436312,-0.3778766307455605,0.8500886617446505,-0.1160608738315483,-0.026413427050666186,0.2776692850702841,-0.32064433467473885,-0.26834154441932295,0.8226630153696913,-0.369531759714205,-0.17515929148748438,0.37872006246669604,-0.026006323597271286,-0.02804748291005252,-0.057885384635758666,-0.04025807307080939,0.015827422085041704,0.012569375589386748,0.023538142918603188,0.015264292921822714,0.059058419746556685,0.06549011319533737,0.07512108219373165,0.06971909792800512,0.007806536937089791,0.007016585005493437,-0.04251412237321998,-0.048289758592620816,0.031059312648011653,-0.07173049792513511,-0.0772099489076474,-0.018668752342571402,0.08213279394522077,0.05009059199101988,0.05158936056560427,0.04592173543106158,-0.01734304997070693,-0.012379115394781497,-0.0010205733357256904,-0.00781843510167794,0.06822212594061286,0.043262694399193,0.03575989011760182,0.06124243776356907,0.02596598388948568,-0.07188838902360843,-0.06991143869400446,0.014671083423218644,0.031059312648011605,-0.06794514802335677,-0.07402934130662067,-0.07446276117460988,0.08732034447063768,0.07323256951216389,0.06502303407031537,0.06179463753578128,-0.02389966743646987,-0.01730784327452363,-0.009953192188561935,-0.01134971371149571,0.06578185095106105,0.05926086982912078,0.05641914890296709,0.05851925551647049,0.017630461817991522,-0.038639983675666026,-0.07328767685903682,-0.0680668844649727
