DAT,obs_time,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량
0,00:00,22.25500005,75.9073337,457.25,2.035894736,126,126,0.0,0.0,0,0,0,0,0.0,0.0
0,01:00,22.25593218,76.27417288,454.7288136,2.029018964,0,126,0.0,0.0,0,0,0,0,0.0,0.0
0,02:00,22.2966101,76.29694842,454.0677966,2.02493571,126,252,0.0,0.0,0,0,0,0,0.0,0.0
0,03:00,22.21206892,77.30421081,453.4655172,2.042485003,0,252,0.0,0.0,0,0,0,0,0.0,0.0
0,04:00,22.26500003,77.65966604,454.3333333,2.027479219,126,378,0.0,0.0,0,0,0,0,0.0,0.0
0,05:00,22.31525421,77.65000046,454.4915254,2.016414804,0,378,0.0,0.0,0,0,0,0,0.0,0.0
0,06:00,23.48644059,75.42813511,450.3389831,2.01831661,252,630,17636.37,17636.37,0,0,0,0,17636.37,17636.37
0,07:00,25.61499983,75.69381871,450.6833333,2.02544407,252,882,18255.19,35891.56,0,0,0,0,18255.19,35891.56
0,08:00,26.74915243,75.17223539,452.4237288,2.029652866,252,1134,18255.19,54146.75,0,0,0,0,18255.19,54146.75
0,09:00,26.73684197,74.31647092,459.3508772,2.023691706,252,1386,18255.19,72401.94,0,0,0,0,18255.19,72401.94
0,10:00,26.89833317,75.81155235,465.55,2.022785566,252,1638,18255.19,90657.13,0,0,0,0,18255.19,90657.13
0,11:00,26.90714274,73.11214455,467.4285714,2.016701173,252,1890,17326.959999999992,107984.09,0,0,0,0,17326.959999999992,107984.09
0,12:00,26.83793094,74.98577471,475.7758621,2.018511139,252,2142,18255.19,126239.28,0,0,0,0,18255.19,126239.28
0,13:00,26.94912258,73.13458342,508.6315789,2.01745801,252,2394,17017.54999999999,143256.83,0,0,0,0,17017.54999999999,143256.83
0,14:00,26.89499992,73.94026132,487.3666667,2.009511431,252,2646,18255.19,161512.02,0,0,0,0,18255.19,161512.02
0,15:00,26.84833333,75.5618044,497.5333333,2.003791056,252,2898,18255.19,179767.21,0,0,0,0,18255.19,179767.21
0,16:00,26.81874985,73.90333341,491.71875,2.006039377,252,3150,10210.53,189977.74,0,0,0,0,10210.53,189977.74
0,17:00,27.18999996,69.9200002,435.5833333,1.983458169,252,3402,0.0,189977.74,0,0,0,0,0.0,189977.74
0,18:00,26.08333327,69.68833237,447.2333333,1.961841863,252,3654,0.0,189977.74,0,0,0,0,0.0,189977.74
0,19:00,25.16666657,70.08666598,456.8333333,1.969689023,252,3906,0.0,189977.74,0,0,0,0,0.0,189977.74
0,20:00,23.69999997,73.29166641,484.8166667,1.976546071,126,4032,0.0,189977.74,0,0,0,0,0.0,189977.74
0,21:00,22.7758621,74.35517212,500.1034483,1.981507162,0,4032,0.0,189977.74,0,0,0,0,0.0,189977.74
0,22:00,22.49491523,74.62711826,492.6101695,1.986750314,126,4158,0.0,189977.74,0,0,0,0,0.0,189977.74
0,23:00,22.26166655,75.16333389,495.6166667,1.993468742,0,4158,0.0,189977.74,0,0,0,0,0.0,189977.74
1,00:00,22.25500005,75.9073337,457.25,2.035894736,126,126,0.0,0.0,0,0,0,0,0.0,0.0
1,01:00,22.25593218,76.27417288,454.7288136,2.029018964,0,126,0.0,0.0,0,0,0,0,0.0,0.0
1,02:00,22.2966101,76.29694842,454.0677966,2.02493571,126,252,0.0,0.0,0,0,0,0,0.0,0.0
1,03:00,22.21206892,77.30421081,453.4655172,2.042485003,0,252,0.0,0.0,0,0,0,0,0.0,0.0
1,04:00,22.26500003,77.65966604,454.3333333,2.027479219,126,378,0.0,0.0,0,0,0,0,0.0,0.0
1,05:00,22.31525421,77.65000046,454.4915254,2.016414804,0,378,0.0,0.0,0,0,0,0,0.0,0.0
1,06:00,23.48644059,75.42813511,450.3389831,2.01831661,252,630,0.0,0.0,0,0,0,0,0.0,0.0
1,07:00,25.61499983,75.69381871,450.6833333,2.02544407,252,882,0.0,0.0,0,0,0,0,0.0,0.0
1,08:00,26.74915243,75.17223539,452.4237288,2.029652866,252,1134,0.0,0.0,0,0,0,0,0.0,0.0
1,09:00,26.73684197,74.31647092,459.3508772,2.023691706,252,1386,0.0,0.0,0,0,0,0,0.0,0.0
1,10:00,26.89833317,75.81155235,465.55,2.022785566,252,1638,0.0,0.0,0,0,0,0,0.0,0.0
1,11:00,26.90714274,73.11214455,467.4285714,2.016701173,252,1890,0.0,0.0,0,0,0,0,0.0,0.0
1,12:00,26.83793094,74.98577471,475.7758621,2.018511139,252,2142,0.0,0.0,0,0,0,0,0.0,0.0
1,13:00,26.94912258,73.13458342,508.6315789,2.01745801,252,2394,0.0,0.0,0,0,0,0,0.0,0.0
1,14:00,27.06744172,74.40465155,467.4418605,0.033014147,252,2646,12685.81,12685.81,0,0,0,0,12685.81,12685.81
1,15:00,27.04237278,75.25762707,476.4915254,0.0,252,2898,17945.78,30631.59,0,0,0,0,17945.78,30631.59
1,16:00,27.04833333,74.87166659,470.5333333,0.0,252,3150,18255.19,48886.78,0,0,0,0,18255.19,48886.78
1,17:00,27.0949152,74.79491476,469.0,0.0,252,3402,18255.19,67141.97,0,0,0,0,18255.19,67141.97
1,18:00,25.85689643,73.76724125,520.3706897,0.0,252,3654,17945.78,85087.75,0,0,0,0,17945.78,85087.75
1,19:00,24.50999997,74.3683328,467.8333333,0.0,252,3906,18255.19,103342.94,0,0,0,0,18255.19,103342.94
1,20:00,23.48166663,77.14500033,466.8166667,0.0,126,4032,928.229999999996,104271.17,0,0,0,0,928.229999999996,104271.17
1,21:00,22.78166666,78.41833318,471.3833333,0.0,0,4032,0.0,104271.17,0,0,0,0,0.0,104271.17
1,22:00,22.36833302,78.81499952,473.9166667,1.326549861,126,4158,0.0,104271.17,0,0,0,0,0.0,104271.17
1,23:00,22.21403503,78.92280686,487.245614,1.976774774,0,4158,0.0,104271.17,0,0,0,0,0.0,104271.17
2,00:00,22.18644094,79.18983072,487.6271186,1.968366118,126,126,0.0,0.0,0,0,0,0,0.0,0.0
2,01:00,22.23833342,79.36499977,474.2833333,1.972567525,0,126,0.0,0.0,0,0,0,0,0.0,0.0
2,02:00,22.28333346,79.12583345,467.3333333,1.972787525,126,252,0.0,0.0,0,0,0,0,0.0,0.0
2,03:00,22.26499999,79.64250027,465.4833333,1.981019644,0,252,0.0,0.0,0,0,0,0,0.0,0.0
2,04:00,22.29830509,79.71864384,462.8983051,1.982144942,126,378,0.0,0.0,0,0,0,0,0.0,0.0
2,05:00,22.2516667,80.19666697,467.8666667,1.982578097,0,378,0.0,0.0,0,0,0,0,0.0,0.0
2,06:00,23.56166639,77.53333321,471.35,1.958560006,252,630,17636.37,17636.37,0,0,0,0,17636.37,17636.37
2,07:00,25.35135125,76.60000115,467.2972973,1.960000995,252,882,11448.170000000002,29084.54,0,0,0,0,11448.170000000002,29084.54
2,08:00,26.93389825,72.15254211,434.9661017,1.773051102,252,1134,0.0,29084.54,0,0,0,0,0.0,29084.54
2,09:00,27.00166648,71.72166621,439.3333333,1.957048461,252,1386,0.0,29084.54,0,0,0,0,0.0,29084.54
2,10:00,27.16666648,71.56166674,441.8333333,1.953573008,252,1638,0.0,29084.54,0,0,0,0,0.0,29084.54
2,11:00,27.09500001,71.69166692,440.6333333,1.949924461,252,1890,0.0,29084.54,0,0,0,0,0.0,29084.54
2,12:00,27.22666651,71.68833415,438.85,1.94583589,252,2142,0.0,29084.54,0,0,0,0,0.0,29084.54
2,13:00,27.28499991,71.96333351,436.3166667,1.942645695,252,2394,0.0,29084.54,0,0,0,0,0.0,29084.54
2,14:00,27.26363616,75.33636336000001,492.7272727,1.929631547,252,2646,3712.9199999999983,32797.46,0,0,0,0,3712.9199999999983,32797.46
2,15:00,27.22241365,74.25172411,496.4655172,1.926465869,252,2898,17326.96,50124.42,0,0,0,0,17326.96,50124.42
2,16:00,27.31999985,74.45666695,495.1,1.91673913,252,3150,17945.78,68070.2,0,0,0,0,17945.78,68070.2
2,17:00,27.30999988,74.42666664,494.25,1.914208968,252,3402,18255.19,86325.39,0,0,0,0,18255.19,86325.39
2,18:00,26.45499989,74.18499985,470.55,1.907223556,252,3654,18255.19,104580.58,0,0,0,0,18255.19,104580.58
2,19:00,25.99166663,74.65000013,459.9166667,1.906618494,252,3906,17945.78,122526.36,0,0,0,0,17945.78,122526.36
2,20:00,24.62666664,77.82000071,467.0833333,1.909552036,126,4032,928.229999999996,123454.59,0,0,0,0,928.229999999996,123454.59
2,21:00,23.51833302,78.5216671,492.0,1.915914053,0,4032,0.0,123454.59,0,0,0,0,0.0,123454.59
2,22:00,23.26499987,79.23666611,499.3,1.921469374,126,4158,0.0,123454.59,0,0,0,0,0.0,123454.59
2,23:00,22.82499952,79.08833262,519.9,1.92438457,0,4158,0.0,123454.59,0,0,0,0,0.0,123454.59
3,00:00,22.72881385,79.53728808,506.5932203,1.925575426,126,126,0.0,0.0,0,0,0,0,0.0,0.0
3,01:00,22.66551758,79.47931079,491.5344828,1.929841932,0,126,0.0,0.0,0,0,0,0,0.0,0.0
3,02:00,22.586667,79.20666784,482.75,1.941380604,126,252,0.0,0.0,0,0,0,0,0.0,0.0
3,03:00,22.55333354,79.01000023,475.3333333,1.944515834,0,252,0.0,0.0,0,0,0,0,0.0,0.0
3,04:00,22.51333338,78.87833417,476.3,1.94497422,126,378,0.0,0.0,0,0,0,0,0.0,0.0
3,05:00,22.43666643,78.86500079,472.4,1.944387492,0,378,0.0,0.0,0,0,0,0,0.0,0.0
3,06:00,22.98181794,77.64090972,470.2727273,1.956733216,252,630,5878.79,5878.79,0,0,0,0,5878.79,5878.79
3,07:00,25.35135125,76.60000115,467.2972973,1.960000995,252,882,0.0,5878.79,0,0,0,0,0.0,5878.79
3,08:00,26.93389825,72.15254211,434.9661017,1.773051102,252,1134,0.0,5878.79,0,0,0,0,0.0,5878.79
3,09:00,27.00166648,71.72166621,439.3333333,1.957048461,252,1386,0.0,5878.79,0,0,0,0,0.0,5878.79
3,10:00,27.15000003,73.80000087,460.3571429,1.944175311,252,1638,4331.740000000001,10210.53,0,0,0,0,4331.740000000001,10210.53
3,11:00,27.21607137,74.59464332,458.6071429,1.936101594,252,1890,17017.550000000003,27228.08,0,0,0,0,17017.550000000003,27228.08
3,12:00,27.21666659,74.27777778,466.3611111,1.932690084,252,2142,11757.580000000002,38985.66,0,0,0,0,11757.580000000002,38985.66
3,13:00,27.14999987,74.43000056,457.1333333,1.928454749,252,2394,8663.479999999996,47649.14,0,0,0,0,8663.479999999996,47649.14
3,14:00,27.30833324,74.70333366,459.4166667,1.929408191,252,2646,18255.19,65904.33,0,0,0,0,18255.19,65904.33
3,15:00,27.26499983,74.54333305,454.0666667,1.928509808,252,2898,18255.19,84159.52,0,0,0,0,18255.19,84159.52
3,16:00,27.26999985,74.09000015,448.9333333,1.925979684,252,3150,18255.19,102414.71,0,0,0,0,18255.19,102414.71
3,17:00,27.33166663,74.475,449.25,1.924494602,252,3402,18255.189999999988,120669.9,0,0,0,0,18255.189999999988,120669.9
3,18:00,26.29333324,72.76333326,495.3666667,1.918535858,252,3654,18255.19,138925.09,0,0,0,0,18255.19,138925.09
3,19:00,25.60833298,73.78833415,446.7166667,1.91760083,252,3906,18255.19,157180.28,0,0,0,0,18255.19,157180.28
3,20:00,23.9666666,75.92000033,520.3916667,1.919837582,126,4032,928.2300000000104,158108.51,0,0,0,0,928.2300000000104,158108.51
3,21:00,23.11166665,77.388333,470.0333333,1.926969745,0,4032,0.0,158108.51,0,0,0,0,0.0,158108.51
3,22:00,22.86166627,77.38333257,458.9333333,1.930636613,126,4158,0.0,158108.51,0,0,0,0,0.0,158108.51
3,23:00,22.59833361,77.26499964,451.25,1.935385261,0,4158,0.0,158108.51,0,0,0,0,0.0,158108.51
4,00:00,22.3399998,77.29333331,450.0833333,1.940555503,126,126,0.0,0.0,0,0,0,0,0.0,0.0
4,01:00,22.17166684,77.54833336,450.6833333,1.946550971,0,126,0.0,0.0,0,0,0,0,0.0,0.0
4,02:00,22.18166695,77.61000074,450.2,1.952967991,126,252,0.0,0.0,0,0,0,0,0.0,0.0
4,03:00,22.20517254,77.32413851,449.7758621,1.959183294,0,252,0.0,0.0,0,0,0,0,0.0,0.0
4,04:00,22.23166679,77.36166687,448.65,1.963583644,126,378,0.0,0.0,0,0,0,0,0.0,0.0
4,05:00,22.30833343,77.8600001,448.2166667,1.965233791,0,378,0.0,0.0,0,0,0,0,0.0,0.0
4,06:00,23.65500008,74.82500025,442.8833333,1.968002264,252,630,17636.37,17636.37,0,0,0,0,17636.37,17636.37
4,07:00,25.78666662,73.09166692,435.7333333,1.965857079,252,882,17945.780000000002,35582.15,0,0,0,0,17945.780000000002,35582.15
4,08:00,26.93389825,72.15254211,434.9661017,1.773051102,252,1134,18255.189999999995,53837.34,0,0,0,0,18255.189999999995,53837.34
4,09:00,27.00166648,71.72166621,439.3333333,1.957048461,252,1386,18255.19,72092.53,0,0,0,0,18255.19,72092.53
4,10:00,27.16666648,71.56166674,441.8333333,1.953573008,252,1638,18255.19,90347.72,0,0,0,0,18255.19,90347.72
