DAT,predicted_weight_g
1,2.84420877444458
2,2.85058622300634
3,2.90292152159325
4,2.9873783998042
5,2.99693945429194
6,3.10971444621474
7,3.3020206197858
8,3.61025979756894
9,3.99250202961029
10,4.8645228611951
11,5.94890296078728
12,7.40357668610407
13,9.10723080557587
14,10.8057009922821
15,12.3734568331836
16,14.4706933261056
17,15.8782050678144
18,19.0685252182978
19,22.041523476527
20,24.9226367599211
21,28.6000723739128
22,33.1178951731524
23,37.871143531964
24,41.6912702257211
25,47.4629359496571
26,51.1003487157655
27,56.665814132515
28,63.7521118486819
