day,내부온도관측치0,내부온도관측치1,내부온도관측치2,내부온도관측치3,내부온도관측치4,내부온도관측치5,내부온도관측치6,내부온도관측치7,내부온도관측치8,내부온도관측치9,내부온도관측치10,내부온도관측치11,내부온도관측치12,내부온도관측치13,내부온도관측치14,내부온도관측치15,내부온도관측치16,내부온도관측치17,내부온도관측치18,내부온도관측치19,내부온도관측치20,내부온도관측치21,내부온도관측치22,내부온도관측치23,내부습도관측치0,내부습도관측치1,내부습도관측치2,내부습도관측치3,내부습도관측치4,내부습도관측치5,내부습도관측치6,내부습도관측치7,내부습도관측치8,내부습도관측치9,내부습도관측치10,내부습도관측치11,내부습도관측치12,내부습도관측치13,내부습도관측치14,내부습도관측치15,내부습도관측치16,내부습도관측치17,내부습도관측치18,내부습도관측치19,내부습도관측치20,내부습도관측치21,내부습도관측치22,내부습도관측치23,co2관측치0,co2관측치1,co2관측치2,co2관측치3,co2관측치4,co2관측치5,co2관측치6,co2관측치7,co2관측치8,co2관측치9,co2관측치10,co2관측치11,co2관측치12,co2관측치13,co2관측치14,co2관측치15,co2관측치16,co2관측치17,co2관측치18,co2관측치19,co2관측치20,co2관측치21,co2관측치22,co2관측치23,ec관측치0,ec관측치1,ec관측치2,ec관측치3,ec관측치4,ec관측치5,ec관측치6,ec관측치7,ec관측치8,ec관측치9,ec관측치10,ec관측치11,ec관측치12,ec관측치13,ec관측치14,ec관측치15,ec관측치16,ec관측치17,ec관측치18,ec관측치19,ec관측치20,ec관측치21,ec관측치22,ec관측치23,시간당분무량0,시간당분무량1,시간당분무량2,시간당분무량3,시간당분무량4,시간당분무량5,시간당분무량6,시간당분무량7,시간당분무량8,시간당분무량9,시간당분무량10,시간당분무량11,시간당분무량12,시간당분무량13,시간당분무량14,시간당분무량15,시간당분무량16,시간당분무량17,시간당분무량18,시간당분무량19,시간당분무량20,시간당분무량21,시간당분무량22,시간당분무량23,시간당백색광량0,시간당백색광량1,시간당백색광량2,시간당백색광량3,시간당백색광량4,시간당백색광량5,시간당백색광량6,시간당백색광량7,시간당백색광량8,시간당백색광량9,시간당백색광량10,시간당백색광량11,시간당백색광량12,시간당백색광량13,시간당백색광량14,시간당백색광량15,시간당백색광량16,시간당백색광량17,시간당백색광량18,시간당백색광량19,시간당백색광량20,시간당백색광량21,시간당백색광량22,시간당백색광량23,시간당적색광량0,시간당적색광량1,시간당적색광량2,시간당적색광량3,시간당적색광량4,시간당적색광량5,시간당적색광량6,시간당적색광량7,시간당적색광량8,시간당적색광량9,시간당적색광량10,시간당적색광량11,시간당적색광량12,시간당적색광량13,시간당적색광량14,시간당적색광량15,시간당적색광량16,시간당적색광량17,시간당적색광량18,시간당적색광량19,시간당적색광량20,시간당적색광량21,시간당적색광량22,시간당적색광량23,시간당청색광량0,시간당청색광량1,시간당청색광량2,시간당청색광량3,시간당청색광량4,시간당청색광량5,시간당청색광량6,시간당청색광량7,시간당청색광량8,시간당청색광량9,시간당청색광량10,시간당청색광량11,시간당청색광량12,시간당청색광량13,시간당청색광량14,시간당청색광량15,시간당청색광량16,시간당청색광량17,시간당청색광량18,시간당청색광량19,시간당청색광량20,시간당청색광량21,시간당청색광량22,시간당청색광량23
0,25.30000013,81.83500023,536.0166667,1.407439293,0.0,0.0,0.0,0.0,25.68035718,81.26428591,528.6964286,1.409002968,126.0,0.0,0.0,0.0,25.27333349,81.47166646,532.8333333,1.406913459,0.0,0.0,0.0,0.0,25.35499996,81.39833361,545.5666667,1.406688704,126.0,0.0,0.0,0.0,25.3916666,81.48333346,558.5833333,1.411070349,0.0,0.0,0.0,0.0,25.37499994,81.50666644,571.4833333,1.409658122,119.57,0.0,0.0,0.0,26.43666655,76.56999957,575.0833333,1.404833519,252.00000000000009,17636.37,959.784,0.0,26.95999985,75.78333359,574.55,1.40073124,239.14,18255.19,976.332,0.0,27.12833373,75.56833305,570.5,1.398819399,245.57,18255.19,976.332,0.0,27.36666616,75.5416659,568.1,1.396299801,252.0,18255.19,976.3320000000004,0.0,27.61333364,75.59999987,563.35,1.395312216,252.0,18255.19,976.332,0.0,27.74000006,75.61166534,552.7,1.392754634,245.57,18255.19,976.3320000000004,0.0,27.86666616,75.69166654,540.8333333,1.390184395,126.0,18255.189999999988,976.3319999999994,0.0,27.98833329,75.41500079,530.5166667,1.389234795,245.57000000000016,18255.190000000017,976.3320000000004,0.0,28.25333316,75.53166644,520.6,1.386930434,245.5699999999997,18255.19,976.3320000000004,0.0,28.46333319,75.65666618,510.5666667,1.384613417,252.0,18255.189999999973,976.3320000000004,0.0,28.66500044,75.46166687,502.35,1.382372351,245.57000000000016,18255.19,976.3319999999984,0.0,28.8199995,75.66833318,522.7833333,1.381918897,245.57000000000016,18255.19,976.3320000000004,0.0,28.92499971,75.68666662,504.8666667,1.379308341,245.5699999999997,18255.19,976.3320000000004,0.0,28.8949996,75.6916659,492.8333333,1.378485372,252.0,18255.19,976.3320000000004,0.0,27.11000001,80.05333341,498.0666667,1.37734583,119.57000000000016,724.0193999999901,46.33439999999973,0.0,26.28333337,81.26833293,508.9333333,1.382448332,0.0,0.0,0.0,0.0,25.97333323,81.811667,514.5166667,1.386094795,126.0,0.0,0.0,0.0,25.87333285,81.90000076,517.9333333,1.388323184,0.0,0.0,0.0,0.0
1,25.80666612,81.76499977,523.2166667,1.390209715,126.0,0.0,0.0,0.0,25.98103425,81.32931006,531.8448276,1.391944513,0.0,0.0,0.0,0.0,25.58333365,81.36833458,540.6333333,1.392577368,126.0,0.0,0.0,0.0,25.47666658,81.65166715,548.5166667,1.394362624,0.0,0.0,0.0,0.0,25.43166641,81.98666636,555.6333333,1.396147859,126.0,0.0,0.0,0.0,25.40666631,82.0016669,563.7,1.397097458,0.0,0.0,0.0,0.0,27.10499992,77.16833318,565.1666667,1.39759527,252.0,17945.78,959.784,0.0,27.76499987,75.95166664,564.2333333,1.391412536,252.0,18255.19,976.332,0.0,28.0250001,75.91166712,557.3666667,1.388867611,245.57,18255.19,976.332,0.0,28.19666681,75.90333379,546.05,1.387234312,252.0,18255.19,976.3320000000004,0.0,28.34666608,75.86333313,533.8666667,1.384853977,252.0,18255.189999999988,976.332,0.0,28.57333358,75.69999936,523.2,1.382916794,245.57000000000016,18255.19,976.3320000000004,0.0,28.70166693,75.66666629,513.2333333,1.380954307,245.57,18255.19,976.3319999999994,0.0,28.80666615,75.54166679,504.4666667,1.379675525,245.57000000000016,18255.189999999988,976.3320000000004,0.0,28.90499964,75.3899999,497.6833333,1.378270121,245.5699999999997,18255.19,976.3320000000004,0.0,28.98666662,75.49499944,513.0166667,1.376978683,245.57000000000016,18255.19,976.3320000000004,0.0,29.21833347,75.6966671,496.7833333,1.376092394,245.5699999999997,18255.19,976.3319999999984,0.0,29.40333296,75.38833338,491.0666667,1.374878901,126.0,18255.19,976.3320000000004,0.0,29.40166629,75.27999992,489.5333333,1.373724711,252.0,18255.19,976.3320000000004,0.0,29.29666634,75.30666656,490.95,1.37335753,252.0,18255.19,976.3320000000004,0.0,27.44999997,79.64666621,496.0,1.373560113,126.0,1061.2762999999975,56.263199999999415,0.0,26.60500005,81.03500036,505.45,1.378371423,0.0,0.0,0.0,0.0,26.35666612,81.46833344,510.7,1.381017603,119.57000000000016,0.0,0.0,0.0,26.19666688,81.28500036,513.3666667,1.38423358,0.0,0.0,0.0,0.0
2,26.09833368,81.77833366,516.4166667,1.385904872,119.57,0.0,0.0,0.0,26.31355926,81.2694909,518.0847458,1.39034232,0.0,0.0,0.0,0.0,25.87833287,81.24499919,527.7333333,1.389247459,126.0,0.0,0.0,0.0,25.7949995,81.25166601,537.6,1.391349228,0.0,0.0,0.0,0.0,25.66000061,81.45499992,543.9833333,1.392374808,126.0,0.0,0.0,0.0,25.60166705,81.51833305,551.0666667,1.393944802,0.0,0.0,0.0,0.0,27.38833316,76.81333377,544.1166667,1.393590287,239.14000000000004,17787.9809,949.8552,0.0,28.06833359,75.55333303,536.3,1.387854713,245.57,18255.19,976.332,0.0,28.22833347,75.30999997,539.6666667,1.386436677,252.0,18255.19,976.332,0.0,27.82333304,74.86333364,535.9333333,1.386423983,245.57,18255.19,976.332,0.0,27.0316666,74.72166608,544.85,1.393049637,252.0,17945.78,959.7839999999997,0.0,26.62666705,74.5216671,563.9166667,1.395514808,245.57000000000016,18255.19,976.3320000000004,0.0,26.48999996,74.42000046,569.2333333,1.396299801,252.0,18255.19,976.3320000000004,0.0,26.58333365,74.96333389,567.3833333,1.397186091,252.0,18255.19,976.3319999999994,0.0,26.6533337,74.89833399,558.2666667,1.397945768,252.0,18255.19,976.3320000000004,0.0,26.70500034,74.59333318,560.5833333,1.398110358,245.5699999999997,18255.19,976.3320000000004,0.0,26.78999977,74.59666672,540.2666667,1.398021726,252.0,18255.189999999973,976.3320000000004,0.0,26.913333,74.62333361,535.5333333,1.397629229,252.0,18255.19,976.3319999999984,0.0,27.69333328,75.76333288,536.9666667,1.393881486,245.57000000000016,18255.19,976.3320000000004,0.0,28.21499999,75.59833374,522.3,1.391023842,245.57000000000016,18255.19,976.3320000000004,0.0,26.66833331,79.57166748,520.9333333,1.387804069,119.56999999999972,928.2300000000104,49.64400000000023,0.0,25.93666643,80.74166654,523.3333333,1.391843025,0.0,0.0,0.0,0.0,25.63000027,80.90333354,522.3333333,1.394463921,0.0,0.0,0.0,0.0,25.49166663,81.18666674,524.8666667,1.395641418,126.0,0.0,0.0,0.0
3,25.4383331,81.05833295,531.45,1.396742938,126.0,0.0,0.0,0.0,25.7830508,80.57118626,536.4745763,1.400575652,0.0,0.0,0.0,0.0,25.3216663,80.90333303,547.8333333,1.39783181,126.0,0.0,0.0,0.0,25.21166677,80.9516674,557.85,1.399427136,0.0,0.0,0.0,0.0,25.27500013,81.08833364,559.95,1.402194216,126.0,0.0,0.0,0.0,25.24500036,80.87666601,562.9166667,1.403922288,0.0,0.0,0.0,0.0,26.89333324,76.40000038,553.4,1.400811913,252.0,17945.78,959.784,0.0,27.46999989,75.54500033,546.6666667,1.396671673,252.0,18255.19,976.332,0.0,26.64166651,74.21166725,547.2,1.398274966,245.57,18255.19,976.332,0.0,26.37966056,74.61166636,566.4833333,1.402212614,252.0,18255.19,976.3320000000004,0.0,26.41499968,74.6366656,682.4333333,1.402035344,252.0,18255.189999999988,976.332,0.0,26.42999973,74.80166651,817.9333333,1.403225507,245.57000000000016,18255.19,976.3320000000004,0.0,26.56499993,74.80833333,952.55,1.402567132,245.57,18255.19,976.3319999999994,0.0,26.62666709,74.60166702,976.5666667,1.401883413,245.57000000000016,18255.189999999988,976.3320000000004,0.0,26.45999985,74.30666695,884.7,1.403542056,245.5699999999997,18255.19,976.3320000000004,0.0,26.37833287,74.23499959,1005.233333,1.403858592,245.57000000000016,18255.19,976.3320000000004,0.0,26.29333299,74.34999962,1173.266667,1.404352379,245.5699999999997,18255.19,976.3319999999984,0.0,26.19000003,75.02833316,1015.65,1.407323291,126.0,18255.19,976.3320000000004,0.0,27.45833324,75.74499969,924.0,1.402603201,252.0,18255.19,976.3320000000004,0.0,27.59500036,74.79499969,913.3833333,1.398161006,252.0,18255.19,976.3320000000004,0.0,25.95666666,79.51166636,897.6,1.396958188,126.0,1061.2762999999975,56.263199999999415,0.0,25.34333274,81.00666631,868.5833333,1.400655272,0.0,0.0,0.0,0.0,25.25999994,81.3183342,829.9833333,1.401959372,119.57000000000016,0.0,0.0,0.0,25.14500052,81.42333399,791.5,1.403352127,0.0,0.0,0.0,0.0
4,25.47000001,81.30000051,543.6,1.4097742,0.0,0.0,0.0,0.0,25.46271185,81.47627155,548.4915254,1.408863363,0.0,0.0,0.0,0.0,25.40166661,81.36500015,553.4166667,1.408448388,0.0,0.0,0.0,0.0,25.33166663,81.37500038,558.7666667,1.412574607,126.0,0.0,0.0,0.0,25.46166658,81.67499987,564.0833333,1.412039022,0.0,0.0,0.0,0.0,25.40999997,81.86500003,568.4666667,1.413748519,119.57,0.0,0.0,0.0,26.39166648,76.59333382,565.8833333,1.409720749,252.0,17583.7703,939.9264,0.0,26.6983338,75.52666791,565.3166667,1.407467057,245.57,18255.19,976.332,0.0,26.80666609,75.92833354,564.4333333,1.405618521,245.57000000000005,18255.19,976.332,0.0,26.9383331,75.77500013,559.7,1.404656259,252.0,18255.189999999995,976.332,0.0,27.11166697,75.90999997,553.2833333,1.403010269,245.57,18255.19,976.332,0.0,27.35666612,75.911667,544.1333333,1.400921162,245.57,18255.19,976.3320000000004,0.0,27.40333296,75.861667,533.4166667,1.40123769,245.57000000000016,18255.19,976.3319999999994,0.0,27.57666696,76.32999942,524.9,1.400632632,252.0,18255.189999999988,976.3320000000004,0.0,27.70166677,76.1483331,517.6666667,1.397325365,245.5699999999997,18255.19,976.3319999999994,0.0,27.2566665,75.5233331,519.0333333,1.399161247,245.57000000000016,18255.19,976.3320000000004,0.0,27.51166671,75.73666712,516.9666667,1.398794065,239.13999999999987,18255.19,976.3320000000004,0.0,27.66500028,75.49333331,515.3833333,1.397654551,252.0,18255.19,976.3320000000004,0.0,27.90999966,75.3433328,512.6666667,1.395274244,239.1400000000004,18255.19,976.3320000000004,0.0,27.77999954,75.53333371,510.15,1.396274473,245.5699999999997,18255.19,976.3319999999984,0.0,26.08500004,79.93333308,515.15,1.395578118,0.0,928.2299999999814,49.64400000000023,0.0,25.34166632,81.2716671,524.9,1.401313661,119.57000000000016,0.0,0.0,0.0,25.19833384,81.25666618,530.6166667,1.403478748,0.0,0.0,0.0,0.0,25.27833363,82.02666575,538.4333333,1.407541102,119.57000000000016,0.0,0.0,0.0
5,26.09833368,81.77833366,516.4166667,1.385904872,0.0,0.0,0.0,0.0,26.31355926,81.2694909,518.0847458,1.39034232,0.0,0.0,0.0,0.0,25.87833287,81.24499919,527.7333333,1.389247459,0.0,0.0,0.0,0.0,25.7949995,81.25166601,537.6,1.391349228,126.0,0.0,0.0,0.0,25.66000061,81.45499992,543.9833333,1.392374808,0.0,0.0,0.0,0.0,25.60166705,81.51833305,551.0666667,1.393944802,119.57,0.0,0.0,0.0,27.38833316,76.81333377,544.1166667,1.393590287,252.0,17583.7703,939.9264,0.0,28.06833359,75.55333303,536.3,1.387854713,245.57,18255.19,976.332,0.0,28.22833347,75.30999997,539.6666667,1.386436677,245.57000000000005,18255.19,976.332,0.0,27.82333304,74.86333364,535.9333333,1.386423983,252.0,18255.189999999995,976.332,0.0,27.0316666,74.72166608,544.85,1.393049637,245.57,18255.19,976.332,0.0,26.62666705,74.5216671,563.9166667,1.395514808,245.57,18255.19,976.3320000000004,0.0,26.48999996,74.42000046,569.2333333,1.396299801,245.57000000000016,18255.19,976.3319999999994,0.0,26.58333365,74.96333389,567.3833333,1.397186091,252.0,18255.189999999988,976.3320000000004,0.0,26.6533337,74.89833399,558.2666667,1.397945768,245.5699999999997,18255.19,976.3319999999994,0.0,26.70500034,74.59333318,560.5833333,1.398110358,245.57000000000016,18255.19,976.3320000000004,0.0,26.78999977,74.59666672,540.2666667,1.398021726,239.13999999999987,18255.19,976.3320000000004,0.0,26.913333,74.62333361,535.5333333,1.397629229,252.0,18255.19,976.3320000000004,0.0,27.69333328,75.76333288,536.9666667,1.393881486,239.1400000000004,18255.19,976.3320000000004,0.0,28.21499999,75.59833374,522.3,1.391023842,245.5699999999997,18255.19,976.3319999999984,0.0,26.66833331,79.57166748,520.9333333,1.387804069,0.0,928.2299999999814,49.64400000000023,0.0,25.93666643,80.74166654,523.3333333,1.391843025,119.57000000000016,0.0,0.0,0.0,25.63000027,80.90333354,522.3333333,1.394463921,0.0,0.0,0.0,0.0,25.49166663,81.18666674,524.8666667,1.395641418,119.57000000000016,0.0,0.0,0.0
6,25.34000018,81.67499987,543.5333333,1.407851005,126.0,0.0,0.0,0.0,25.47499997,81.4566672,548.5333333,1.40755374,0.0,0.0,0.0,0.0,25.37333336,81.99999987,556.2333333,1.410712439,0.0,0.0,0.0,0.0,25.3983333,81.37333336,561.3833333,1.410527575,126.0,0.0,0.0,0.0,25.37000011,82.06166687,564.9333333,1.41359761,0.0,0.0,0.0,0.0,25.31666673,81.45666669,569.9166667,1.413420808,126.0,0.0,0.0,0.0,26.80499973,77.56166687,562.35,1.413755387,245.57000000000005,17636.37,943.236,0.0,27.10166705,75.9799998,559.4166667,1.407417979,245.57,18255.19,976.332,0.0,27.20833352,76.10666733,563.1333333,1.40673272,252.0000000000001,18255.19,976.332,0.0,27.79999924,85.36666616,552.0,1.446172039,252.0,18255.19,976.332,0.0,27.07647021,75.3411762,530.7058824,1.39967856,252.0,18255.19,976.3320000000004,0.0,27.19333312,74.76333338,529.6666667,1.397325353,245.57,18255.19,976.3319999999994,0.0,27.57500029,74.28666751,523.6666667,1.395565446,252.0,18255.189999999988,976.3320000000004,0.0,27.70000038,74.20166461,521.65,1.393337051,252.0,18255.190000000017,976.3320000000004,0.0,27.81999935,74.22333234,519.5,1.390703495,245.57000000000016,18255.19,976.3319999999994,0.0,27.82833268,74.26833216,534.35,1.390859244,252.0,18255.189999999973,976.3320000000004,0.0,27.88999958,74.20666491,539.35,1.389969152,252.0,18255.19,976.3320000000004,0.0,27.85762658,74.34237257,536.4576271,1.393572906,252.0,18255.19,976.3320000000004,0.0,27.84333337,74.21333377,535.0,1.390093826,252.0,18255.19,976.3319999999984,0.0,27.38499956,74.33499997,531.1833333,1.393197789,206.98999999999967,18255.19,976.3320000000004,0.0,25.63666665,78.69166667,532.35,1.393197775,0.0,513.6205999999947,26.476800000000367,0.0,25.32333342,80.53333384,536.95,1.403331778,119.57000000000016,0.0,0.0,0.0,25.34999994,80.48500036,536.4166667,1.404215725,0.0,0.0,0.0,0.0,25.38166672,80.59499957,540.1666667,1.406786176,119.56999999999972,0.0,0.0,0.0
7,25.47000001,81.30000051,543.6,1.4097742,126.0,0.0,0.0,0.0,25.46271185,81.47627155,548.4915254,1.408863363,0.0,0.0,0.0,0.0,25.40166661,81.36500015,553.4166667,1.408448388,126.0,0.0,0.0,0.0,25.33166663,81.37500038,558.7666667,1.412574607,0.0,0.0,0.0,0.0,25.46166658,81.67499987,564.0833333,1.412039022,119.57,0.0,0.0,0.0,25.40999997,81.86500003,568.4666667,1.413748519,0.0,0.0,0.0,0.0,26.39166648,76.59333382,565.8833333,1.409720749,245.57,17917.9331,954.8196,0.0,26.6983338,75.52666791,565.3166667,1.407467057,252.0,18255.19,976.332,0.0,26.80666609,75.92833354,564.4333333,1.405618521,245.57000000000005,18255.19,976.332,0.0,26.9383331,75.77500013,559.7,1.404656259,245.57,17945.78,959.784,0.0,27.11166697,75.90999997,553.2833333,1.403010269,245.57,18255.19,976.3319999999994,0.0,27.35666612,75.911667,544.1333333,1.400921162,252.0,18255.19,976.3320000000004,0.0,27.40333296,75.861667,533.4166667,1.40123769,252.0,18255.19,976.3320000000004,0.0,27.57666696,76.32999942,524.9,1.400632632,252.0,18255.19,976.3319999999994,0.0,27.70166677,76.1483331,517.6666667,1.397325365,252.0,18255.19,976.3320000000012,0.0,27.2566665,75.5233331,519.0333333,1.399161247,252.0,18255.19,976.3319999999984,0.0,27.51166671,75.73666712,516.9666667,1.398794065,200.56,18564.599999999977,992.880000000001,0.0,27.66500028,75.49333331,515.3833333,1.397654551,252.0,17945.78,959.7839999999997,0.0,27.90999966,75.3433328,512.6666667,1.395274244,239.1400000000004,18564.60000000001,992.8799999999992,0.0,27.77999954,75.53333371,510.15,1.396274473,245.5699999999997,18255.19,976.3320000000004,0.0,26.08500004,79.93333308,515.15,1.395578118,126.0,928.2300000000104,49.64400000000023,0.0,25.34166632,81.2716671,524.9,1.401313661,0.0,0.0,0.0,0.0,25.19833384,81.25666618,530.6166667,1.403478748,119.57000000000016,0.0,0.0,0.0,25.27833363,82.02666575,538.4333333,1.407541102,0.0,0.0,0.0,0.0
8,25.34000018,81.67499987,543.5333333,1.407851005,126.0,0.0,0.0,0.0,25.47499997,81.4566672,548.5333333,1.40755374,0.0,0.0,0.0,0.0,25.37333336,81.99999987,556.2333333,1.410712439,126.0,0.0,0.0,0.0,25.3983333,81.37333336,561.3833333,1.410527575,0.0,0.0,0.0,0.0,25.37000011,82.06166687,564.9333333,1.41359761,126.0,0.0,0.0,0.0,25.31666673,81.45666669,569.9166667,1.413420808,0.0,0.0,0.0,0.0,26.80499973,77.56166687,562.35,1.413755387,245.57000000000005,17376.4656,944.8908,0.0,27.10166705,75.9799998,559.4166667,1.407417979,245.57,18255.19,976.332,0.0,27.20833352,76.10666733,563.1333333,1.40673272,245.57000000000005,18255.19,976.332,0.0,26.71166623,75.65500043,564.6666667,1.40827692,252.0,18255.19,976.3320000000004,0.0,25.86499974,75.03500036,581.1333333,1.411385727,252.0,18255.19,976.3319999999994,0.0,25.62500048,75.04666659,608.3666667,1.414836053,252.0,18255.189999999988,976.3320000000004,0.0,25.54166683,75.14833336,597.55,1.418430676,252.0,18255.19,976.3320000000004,0.0,25.37499952,74.92000033,584.3,1.422320342,245.57000000000016,18255.190000000017,976.3319999999994,0.0,25.28333298,74.80666695,574.1833333,1.424786236,245.5699999999997,18255.19,976.3320000000004,0.0,25.24333337,74.58833237,572.0,1.426650329,252.0,18255.189999999973,976.3320000000004,0.0,25.31333354,74.5350001,590.8833333,1.43008497,252.0,18255.19,976.3320000000004,0.0,25.33166679,74.72666677,605.3166667,1.432462802,252.0,18255.19,976.3319999999984,0.0,25.77999964,75.28333308,606.4666667,1.4284557,252.0,18255.19,976.3320000000004,0.0,26.09666704,75.28166593,588.0833333,1.424037659,252.0,17945.78,959.7839999999997,0.0,25.35166664,80.63333384,576.7333333,1.429219013,126.0,928.2300000000104,49.64400000000023,0.0,25.28666655,81.6483331,565.9333333,1.429189656,0.0,0.0,0.0,0.0,25.25999997,81.50833333,557.75,1.429718065,126.00000000000044,0.0,0.0,0.0,25.30833317,81.20500069,548.8666667,1.42808881,0.0,0.0,0.0,0.0
9,25.27666651,80.97666677,544.5166667,1.429600632,126.0,0.0,0.0,0.0,25.50169489,81.17457619,539.9152542,1.429704393,0.0,0.0,0.0,0.0,25.31833328,81.34166679,541.1666667,1.430510674,0.0,0.0,0.0,0.0,25.2833333,81.12500051,543.0666667,1.42808881,126.0,0.0,0.0,0.0,25.32333336,81.08666649,544.6,1.434180172,0.0,0.0,0.0,0.0,25.3733333,81.761667,543.0333333,1.431332636,126.0,0.0,0.0,0.0,26.0866669,76.10666644,532.8,1.424257815,245.57000000000005,17636.37,943.236,0.0,26.3083327,75.15166639,528.0333333,1.423978959,245.57,18255.19,976.332,0.0,26.27833281,75.30999934,537.1166667,1.420925933,252.0000000000001,18255.19,976.332,0.0,25.58499978,74.94500033,560.3333333,1.424947691,252.0,18255.19,976.332,0.0,25.39666627,75.00666682,575.6166667,1.428059407,252.0,18255.19,976.3320000000004,0.0,25.32333266,75.10666644,577.05,1.428910738,245.57,18255.19,976.3319999999994,0.0,25.75499957,75.08500061,615.2,1.430114319,252.0,18255.189999999988,976.3320000000004,0.0,25.56000004,75.28000031,627.25,1.430481267,252.0,18255.190000000017,976.3320000000004,0.0,25.7033337,75.7649999,571.3333333,1.428852032,245.57000000000016,18255.19,976.3319999999994,0.0,25.85999982,75.55666644,552.6333333,1.42698792,252.0,18255.189999999973,976.3320000000004,0.0,25.99499998,75.47833341,537.35,1.429013485,252.0,18255.19,976.3320000000004,0.0,25.88333289,75.98666712,517.6666667,1.427369543,252.0,18255.19,976.3320000000004,0.0,26.46333342,76.31666768,509.9833333,1.422540508,252.0,18255.19,976.3319999999984,0.0,26.59500036,75.86166751,506.1333333,1.420001225,206.98999999999967,18255.19,976.3320000000004,0.0,25.39499995,81.27166748,514.6333333,1.424844958,0.0,513.6205999999947,26.476800000000367,0.0,25.43666655,82.66500003,518.0833333,1.425945826,119.57000000000016,0.0,0.0,0.0,25.33166666,82.29666659,518.4833333,1.426371481,0.0,0.0,0.0,0.0,25.40999988,82.78333308,523.1333333,1.429057539,119.56999999999972,0.0,0.0,0.0
