,DAT,obs_time,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,Case,6time,diff_temp,dark,water
0,0,11.5,27.030709241666667,78.06128958541667,535.0942956333333,1.3936159936249999,165.05291666666668,3961.27,10653.244141666664,255677.8594,570.7681000000001,13698.4344,0.0,0.0,11224.012241666665,269376.2938,0.167719388078703,1.0,2.4583333333333335,3.6516662200000027,9,19
1,1,11.5,27.54275129583333,78.07504074124999,523.9865900416667,1.384430622,165.85666666666665,3980.56,10680.188595833331,256324.5263,571.1818000000001,13708.3632,0.0,0.0,11251.370395833334,270032.8895,0.181787272321195,1.0,2.4583333333333335,3.9966666500000017,9,19
2,2,11.5,26.678481675416666,77.59004829541666,539.2361699625,1.3927451803333335,170.57083333333333,4093.7,10655.177954166666,255724.2709,569.8028,13675.2672,0.0,0.0,11224.980754166667,269399.5381,0.265921009145362,1.0,2.4583333333333335,2.736666839999998,9,19
3,3,11.5,26.157335137083333,77.36609106791667,760.1503295624999,1.4012975869166666,165.85666666666665,3980.56,10680.188595833331,256324.5263,571.1818000000001,13708.3632,0.0,0.0,11251.370395833334,270032.8895,0.423650022570148,1.0,2.4583333333333335,2.4499998400000003,9,19
4,4,11.5,26.522890725833335,78.13165027208333,539.5357580041667,1.4037961671666668,163.98125000000002,3935.55,10659.561262499998,255829.4703,570.0785999999999,13681.8864,0.0,0.0,11229.6398625,269511.3567,0.47527243210005804,1.0,2.4583333333333335,2.7116658200000003,9,18
5,5,11.5,26.678481675416666,77.59004829541666,539.2361699625,1.3927451803333335,163.98125000000002,3935.55,10659.561262499998,255829.4703,570.0785999999999,13681.8864,0.0,0.0,11229.6398625,269511.3567,1.94187905498786,1.0,2.4583333333333335,2.736666839999998,9,18
6,6,11.5,26.627045626666668,77.89688382833333,542.86861845,1.4033156490833332,169.76708333333332,4074.41,10644.477524999998,255467.4606,569.2512,13662.0288,0.0,0.0,11213.728724999999,269129.48939999996,2.33090087317029,1.0,2.4583333333333335,2.57333285,9,19
7,7,11.5,26.522890725833335,78.13165027208333,539.5357580041667,1.4037961671666668,168.6954166666667,4048.69,10673.4847125,256163.6331,570.69915,13696.7796,0.0,0.0,11244.183862500002,269860.4127,3.50324857233179,1.0,2.4583333333333335,2.7116658200000003,9,19
8,8,11.5,25.698402768333334,77.90388896208333,572.9861111041666,1.418729675875,171.9104166666667,4125.85,10638.031483333332,255312.7556,569.59595,13670.3028,0.0,0.0,11207.627433333333,268983.0584,4.45823929008714,1.0,2.4583333333333335,1.9650001500000016,9,19
9,9,11.5,25.685139940833334,78.05998248625001,544.9638300291666,1.4273365817916668,169.76708333333332,4074.41,10644.477524999998,255467.4606,569.2512,13662.0288,0.0,0.0,11213.728724999999,269129.48939999996,5.31563026349437,1.0,2.4583333333333335,1.318333850000002,9,19
10,10,11.5,25.614413196666664,78.56938231333334,724.693128675,1.4306017534166668,171.6425,4119.42,10648.860833333332,255572.66,569.5269999999999,13668.648,0.0,0.0,11218.387833333334,269241.308,6.233782216074059,1.0,2.4583333333333335,1.1366664900000032,9,19
11,11,11.5,25.653119085,78.74524653833333,610.0994971208333,1.431732367375,164.51708333333332,3948.41,10645.508891666666,255492.2134,569.18225,13660.374,0.0,0.0,11214.691141666668,269152.5874,7.774750539961931,1.0,2.4583333333333335,1.2816671,9,18
