DAT,obs_time,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,Case,6time,diff_temp,dark,water,내부온도관측치1,내부습도관측치1,co2관측치1,ec관측치1,시간당분무량1,일간누적분무량1,시간당백색광량1,일간누적백색광량1,시간당적색광량1,일간누적적색광량1,시간당청색광량1,일간누적청색광량1,시간당총광량1,일간누적총광량1,내부온도관측치3,내부습도관측치3,co2관측치3,ec관측치3,시간당분무량3,일간누적분무량3,시간당백색광량3,일간누적백색광량3,시간당적색광량3,일간누적적색광량3,시간당청색광량3,일간누적청색광량3,시간당총광량3,일간누적총광량3,내부온도관측치std,내부습도관측치std,co2관측치std,ec관측치std,시간당분무량std,일간누적분무량std,시간당백색광량std,일간누적백색광량std,시간당적색광량std,일간누적적색광량std,시간당청색광량std,일간누적청색광량std,시간당총광량std,일간누적총광량std
0,11.5,27.030709241666667,78.06128958541667,535.0942956333333,1.3936159936249999,165.05291666666668,3961.27,10653.244141666664,255677.8594,570.7681000000001,13698.4344,0.0,0.0,11224.012241666665,269376.2938,0.167719388078703,1.0,2.4583333333333335,3.6516662200000027,9,19,25.8250889325,75.6087489725,513.5291667,1.38407214575,119.57000000000012,3961.27,0.0,255677.8594,0.0,13698.4344,0.0,0.0,0.0,269376.2938,28.0545832575,81.41666682249999,559.774999975,1.40529731525,245.57000000000016,3961.27,18255.19,255677.8594,976.3320000000004,13698.4344,0.0,0.0,19231.522,269376.2938,1.2952711860657236,2.907818409587266,26.541215732968915,0.0111891630789931,101.1067271868076,3961.27,9136.745206393727,255677.8594,488.8592352178391,13698.4344,0.0,0.0,9625.591498520982,269376.2938
1,11.5,27.54275129583333,78.07504074124999,523.9865900416667,1.384430622,165.85666666666665,3980.56,10680.188595833331,256324.5263,571.1818000000001,13708.3632,0.0,0.0,11251.370395833334,270032.8895,0.181787272321195,1.0,2.4583333333333335,3.9966666500000017,9,19,26.1427587225,75.635416415,502.77083335,1.3779472615,124.39250000000004,3980.56,0.0,256324.5263,0.0,13708.3632,0.0,0.0,0.0,270032.8895,28.8312495225,81.33906619,546.666666675,1.3915455302500002,247.17750000000007,3980.56,18255.19,256324.5263,976.3320000000004,13708.3632,0.0,0.0,19231.522,270032.8895,1.459289661022275,2.884051185758614,25.843950418987028,0.0080687968487295,101.43126739717444,3980.56,9131.54720387324,256324.5263,488.4001198061172,13708.3632,0.0,0.0,9619.947314202682,270032.8895
2,11.5,26.678481675416666,77.59004829541666,539.2361699625,1.3927451803333335,170.57083333333333,4093.7,10655.177954166666,255724.2709,569.8028,13675.2672,0.0,0.0,11224.980754166667,269399.5381,0.265921009145362,1.0,2.4583333333333335,2.736666839999998,9,19,25.92208304,74.82791675,524.4833333500001,1.39006860475,119.56999999999992,4093.7,0.0,255724.2709,0.0,13675.2672,0.0,0.0,0.0,269399.5381,27.12083324,81.20124985250001,546.404166675,1.39580601375,252.0,4093.7,18255.19,255724.2709,976.3320000000004,13675.2672,0.0,0.0,19231.522,269399.5381,0.8578444513884727,3.087535404964385,15.943611468535297,0.0039627656508946,102.46947337226052,4093.7,9121.3100337574,255724.2709,487.7793203693155,13675.2672,0.0,0.0,9609.089266695346,269399.5381
3,11.5,26.157335137083333,77.36609106791667,760.1503295624999,1.4012975869166666,165.85666666666665,3980.56,10680.188595833331,256324.5263,571.1818000000001,13708.3632,0.0,0.0,11251.370395833334,270032.8895,0.423650022570148,1.0,2.4583333333333335,2.4499998400000003,9,19,25.33791613,74.63041579,556.7375,1.3991390935,124.39250000000004,3980.56,0.0,256324.5263,0.0,13708.3632,0.0,0.0,0.0,270032.8895,26.58041672,80.9154166225,916.037499975,1.403257162,247.17750000000007,3980.56,18255.19,256324.5263,976.3320000000004,13708.3632,0.0,0.0,19231.522,270032.8895,0.7629726285405682,3.081170049992507,201.09355719074875,0.0027581960710017,101.43126739717444,3980.56,9131.54720387324,256324.5263,488.4001198061172,13708.3632,0.0,0.0,9619.947314202682,270032.8895
4,11.5,26.522890725833335,78.13165027208333,539.5357580041667,1.4037961671666668,163.98125000000002,3935.55,10659.561262499998,255829.4703,570.0785999999999,13681.8864,0.0,0.0,11229.6398625,269511.3567,0.47527243210005804,1.0,2.4583333333333335,2.7116658200000003,9,18,25.4487499275,75.7654168775,518.69166665,1.3990694515,89.6775,3935.55,0.0,255829.4703,0.0,13681.8864,0.0,0.0,0.0,269511.3567,27.4304163975,81.31625042,559.000000025,1.40855213175,245.57000000000008,3935.55,18255.19,255829.4703,976.332,13681.8864,0.0,0.0,19231.522,269511.3567,1.0023203536347975,2.817011519335565,20.22949567835495,0.005703938841823,107.18521650628875,3935.55,9125.445034173468,255829.4703,488.0346470591719,13681.8864,0.0,0.0,9613.479671506955,269511.3567
5,11.5,26.678481675416666,77.59004829541666,539.2361699625,1.3927451803333335,163.98125000000002,3935.55,10659.561262499998,255829.4703,570.0785999999999,13681.8864,0.0,0.0,11229.6398625,269511.3567,1.94187905498786,1.0,2.4583333333333335,2.736666839999998,9,18,25.92208304,74.82791675,524.4833333500001,1.39006860475,89.6775,3935.55,0.0,255829.4703,0.0,13681.8864,0.0,0.0,0.0,269511.3567,27.12083324,81.20124985250001,546.404166675,1.39580601375,245.57000000000008,3935.55,18255.19,255829.4703,976.332,13681.8864,0.0,0.0,19231.522,269511.3567,0.8578444513884727,3.087535404964385,15.943611468535297,0.0039627656508946,107.18521650628875,3935.55,9125.445034173468,255829.4703,488.0346470591719,13681.8864,0.0,0.0,9613.479671506955,269511.3567
6,11.5,26.627045626666668,77.89688382833333,542.86861845,1.4033156490833332,169.76708333333332,4074.41,10644.477524999998,255467.4606,569.2512,13662.0288,0.0,0.0,11213.728724999999,269129.48939999996,2.33090087317029,1.0,2.4583333333333335,2.57333285,9,19,25.37958338,74.322916855,532.058333325,1.3933022355,119.57000000000004,4074.41,0.0,255467.4606,0.0,13662.0288,0.0,0.0,0.0,269129.4894,27.725000095,81.39416669250001,557.02916665,1.4085201475,252.0,4074.41,18255.19,255467.4606,976.3320000000004,13662.0288,0.0,0.0,19231.522,269129.4894,1.0993562245254136,3.5657994603896586,14.929052957398376,0.012363506283927,102.17645170208026,4074.41,9146.781841627286,255467.4606,489.2400117267811,13662.0288,0.0,0.0,9636.021815724336,269129.4894
7,11.5,26.522890725833335,78.13165027208333,539.5357580041667,1.4037961671666668,168.6954166666667,4048.69,10673.4847125,256163.6331,570.69915,13696.7796,0.0,0.0,11244.183862500002,269860.4127,3.50324857233179,1.0,2.4583333333333335,2.7116658200000003,9,19,25.4487499275,75.7654168775,518.69166665,1.3990694515,119.57000000000012,4048.69,0.0,256163.6331,0.0,13696.7796,0.0,0.0,0.0,269860.4127,27.4304163975,81.31625042,559.000000025,1.40855213175,252.0,4048.69,18255.19,256163.6331,976.332,13696.7796,0.0,0.0,19231.522,269860.4127,1.0023203536347975,2.817011519335565,20.22949567835495,0.005703938841823,101.44390203796584,4048.69,9137.628269674524,256163.6331,488.583317177274,13696.7796,0.0,0.0,9626.211111994193,269860.4127
8,11.5,25.698402768333334,77.90388896208333,572.9861111041666,1.418729675875,171.9104166666667,4125.85,10638.031483333332,255312.7556,569.59595,13670.3028,0.0,0.0,11207.627433333333,268983.0584,4.45823929008714,1.0,2.4583333333333335,1.9650001500000016,9,19,25.3158334325,75.0437500325,560.8916666499999,1.410666223,126.0,4125.85,0.0,255312.7556,0.0,13670.3028,0.0,0.0,0.0,268983.0584,25.801249665,81.45666681750001,585.2458333249999,1.4281805325,252.0,4125.85,18255.19,255312.7556,976.3320000000004,13670.3028,0.0,0.0,19231.522,268983.0584,0.6168561355798955,3.1739306669806138,18.72289324349096,0.0090524722203432,102.8216124920778,4125.85,9107.695261731657,255312.7556,487.6121702769697,13670.3028,0.0,0.0,9595.297863074617,268983.0584
9,11.5,25.685139940833334,78.05998248625001,544.9638300291666,1.4273365817916668,169.76708333333332,4074.41,10644.477524999998,255467.4606,569.2512,13662.0288,0.0,0.0,11213.728724999999,269129.48939999996,5.31563026349437,1.0,2.4583333333333335,1.318333850000002,9,19,25.36291664,75.3024995825,521.9708333,1.42492200775,119.57000000000004,4074.41,0.0,255467.4606,0.0,13662.0288,0.0,0.0,0.0,269129.4894,25.9112496625,81.1988490125,554.5583333,1.42962657225,252.0,4074.41,18255.19,255467.4606,976.3320000000004,13662.0288,0.0,0.0,19231.522,269129.4894,0.4073767617552497,3.145370445710628,30.618426279070988,0.0034034115645928,102.17645170208026,4074.41,9146.781841627286,255467.4606,489.2400117267811,13662.0288,0.0,0.0,9636.021815724336,269129.4894
