,DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,Case
0,0,25.8250889325,75.6087489725,513.5291667,1.38407214575,119.57000000000012,3961.27,0.0,255677.8594,0.0,13698.4344,0.0,0.0,0.0,269376.2938,0.167719388078703,1.0
1,1,26.142758722499998,75.635416415,502.77083335000003,1.3779472615,124.39250000000004,3980.56,0.0,256324.5263,0.0,13708.3632,0.0,0.0,0.0,270032.8895,0.181787272321195,1.0
2,2,25.92208304,74.82791675,524.4833333500001,1.39006860475,119.56999999999992,4093.7,0.0,255724.2709,0.0,13675.2672,0.0,0.0,0.0,269399.5381,0.265921009145362,1.0
3,3,25.33791613,74.63041579,556.7375,1.3991390934999999,124.39250000000004,3980.56,0.0,256324.5263,0.0,13708.3632,0.0,0.0,0.0,270032.8895,0.423650022570148,1.0
4,4,25.4487499275,75.7654168775,518.69166665,1.3990694515,89.6775,3935.55,0.0,255829.4703,0.0,13681.8864,0.0,0.0,0.0,269511.3567,0.475272432100058,1.0
5,5,25.92208304,74.82791675,524.4833333500001,1.39006860475,89.6775,3935.55,0.0,255829.4703,0.0,13681.8864,0.0,0.0,0.0,269511.3567,1.94187905498786,1.0
6,6,25.37958338,74.322916855,532.058333325,1.3933022355,119.57000000000005,4074.41,0.0,255467.4606,0.0,13662.0288,0.0,0.0,0.0,269129.48939999996,2.33090087317029,1.0
7,7,25.4487499275,75.7654168775,518.69166665,1.3990694515,119.57000000000012,4048.69,0.0,256163.6331,0.0,13696.7796,0.0,0.0,0.0,269860.4127,3.50324857233179,1.0
8,8,25.3158334325,75.0437500325,560.8916666499999,1.410666223,126.0,4125.85,0.0,255312.7556,0.0,13670.3028,0.0,0.0,0.0,268983.0584,4.45823929008714,1.0
9,9,25.362916639999998,75.3024995825,521.9708333,1.42492200775,119.57000000000005,4074.41,0.0,255467.4606,0.0,13662.0288,0.0,0.0,0.0,269129.48939999996,5.31563026349437,1.0
10,10,25.3583332375,75.72166691,550.8916667,1.428275911,124.39250000000004,4119.42,0.0,255572.66,0.0,13668.648,0.0,0.0,0.0,269241.308,6.23378221607406,1.0
11,11,25.35416656,76.2133326825,561.875000025,1.42998223225,94.5,3948.41,0.0,255492.2134,0.0,13660.374,0.0,0.0,0.0,269152.5874,7.77475053996193,1.0
12,12,25.226666557500003,76.6608325325,562.525,1.434748884,119.56999999999998,3974.13,0.0,255597.4128,0.0,13666.9932,0.0,0.0,0.0,269264.406,9.44717552517705,1.0
13,13,25.250416635,77.40541769500001,506.0,1.4300996485,124.3925,3845.5300000000007,0.0,255795.43519999998,0.0,13662.0288,0.0,0.0,0.0,269457.46400000004,11.2070198973396,1.0
