DAT,"('co2관측치', 0)","('co2관측치', 1)","('co2관측치', 2)","('co2관측치', 3)","('co2관측치', 4)","('co2관측치', 5)","('co2관측치', 6)","('co2관측치', 7)","('co2관측치', 8)","('co2관측치', 9)","('co2관측치', 10)","('co2관측치', 11)","('co2관측치', 12)","('co2관측치', 13)","('co2관측치', 14)","('co2관측치', 15)","('co2관측치', 16)","('co2관측치', 17)","('co2관측치', 18)","('co2관측치', 19)","('co2관측치', 20)","('co2관측치', 21)","('co2관측치', 22)","('co2관측치', 23)","('ec관측치', 0)","('ec관측치', 1)","('ec관측치', 2)","('ec관측치', 3)","('ec관측치', 4)","('ec관측치', 5)","('ec관측치', 6)","('ec관측치', 7)","('ec관측치', 8)","('ec관측치', 9)","('ec관측치', 10)","('ec관측치', 11)","('ec관측치', 12)","('ec관측치', 13)","('ec관측치', 14)","('ec관측치', 15)","('ec관측치', 16)","('ec관측치', 17)","('ec관측치', 18)","('ec관측치', 19)","('ec관측치', 20)","('ec관측치', 21)","('ec관측치', 22)","('ec관측치', 23)","('내부습도관측치', 0)","('내부습도관측치', 1)","('내부습도관측치', 2)","('내부습도관측치', 3)","('내부습도관측치', 4)","('내부습도관측치', 5)","('내부습도관측치', 6)","('내부습도관측치', 7)","('내부습도관측치', 8)","('내부습도관측치', 9)","('내부습도관측치', 10)","('내부습도관측치', 11)","('내부습도관측치', 12)","('내부습도관측치', 13)","('내부습도관측치', 14)","('내부습도관측치', 15)","('내부습도관측치', 16)","('내부습도관측치', 17)","('내부습도관측치', 18)","('내부습도관측치', 19)","('내부습도관측치', 20)","('내부습도관측치', 21)","('내부습도관측치', 22)","('내부습도관측치', 23)","('내부온도관측치', 0)","('내부온도관측치', 1)","('내부온도관측치', 2)","('내부온도관측치', 3)","('내부온도관측치', 4)","('내부온도관측치', 5)","('내부온도관측치', 6)","('내부온도관측치', 7)","('내부온도관측치', 8)","('내부온도관측치', 9)","('내부온도관측치', 10)","('내부온도관측치', 11)","('내부온도관측치', 12)","('내부온도관측치', 13)","('내부온도관측치', 14)","('내부온도관측치', 15)","('내부온도관측치', 16)","('내부온도관측치', 17)","('내부온도관측치', 18)","('내부온도관측치', 19)","('내부온도관측치', 20)","('내부온도관측치', 21)","('내부온도관측치', 22)","('내부온도관측치', 23)","('일간누적분무량', 0)","('일간누적분무량', 1)","('일간누적분무량', 2)","('일간누적분무량', 3)","('일간누적분무량', 4)","('일간누적분무량', 5)","('일간누적분무량', 6)","('일간누적분무량', 7)","('일간누적분무량', 8)","('일간누적분무량', 9)","('일간누적분무량', 10)","('일간누적분무량', 11)","('일간누적분무량', 12)","('일간누적분무량', 13)","('일간누적분무량', 14)","('일간누적분무량', 15)","('일간누적분무량', 16)","('일간누적분무량', 17)","('일간누적분무량', 18)","('일간누적분무량', 19)","('일간누적분무량', 20)","('일간누적분무량', 21)","('일간누적분무량', 22)","('일간누적분무량', 23)","('일간누적총광량', 0)","('일간누적총광량', 1)","('일간누적총광량', 2)","('일간누적총광량', 3)","('일간누적총광량', 4)","('일간누적총광량', 5)","('일간누적총광량', 6)","('일간누적총광량', 7)","('일간누적총광량', 8)","('일간누적총광량', 9)","('일간누적총광량', 10)","('일간누적총광량', 11)","('일간누적총광량', 12)","('일간누적총광량', 13)","('일간누적총광량', 14)","('일간누적총광량', 15)","('일간누적총광량', 16)","('일간누적총광량', 17)","('일간누적총광량', 18)","('일간누적총광량', 19)","('일간누적총광량', 20)","('일간누적총광량', 21)","('일간누적총광량', 22)","('일간누적총광량', 23)"
0,536.0166667,532.35654765,532.5154762000001,535.778273825,540.33928572,545.5299603166667,552.0410714166668,559.6833333166667,565.9611111,569.71666665,570.5111111,567.38055555,561.6722222166667,554.3333333333334,546.0166666666668,536.4277777833333,526.2611111166667,521.275,515.2805555666667,509.0,505.24444444999995,504.9722222166667,507.0,506.1916666666666,1.407439293,1.4082211304999999,1.40778524,1.407511106,1.4082229546,1.4084621491666667,1.4080278535000001,1.4066492321666668,1.4053002221666668,1.4035687383333333,1.4009423828333334,1.3981251348333334,1.3956836141666666,1.39376754,1.3917860458333333,1.3898383151666664,1.387681671,1.3858757148333334,1.3840630391666666,1.3822714686666666,1.3806740346666668,1.3803131871666665,1.3809335945,1.3820009756666665,81.83500023,81.54964307,81.52365086666667,81.4923215525,81.490523934,81.49321435166667,80.61571424166667,79.70222218833332,78.71833328666666,77.74222200166666,76.76166640333334,75.77916622,75.63277738166667,75.57138858166667,75.56527748,75.58444419333334,75.56138869333334,75.57083333333334,75.57000001333333,75.61611086500001,76.36972202666666,77.30499981833334,78.36333317333333,79.40194443666667,25.30000013,25.490178655,25.417896933333335,25.40217269,25.400071472,25.39589288333333,25.585337286666668,25.798611065,26.107777771666665,26.443055471666664,26.813333311666668,27.207499998333333,27.445833266666668,27.617222173333335,27.804722078333338,27.987499916666668,28.162777716666668,28.342777623333333,28.519166548333335,28.670277600000002,28.479722074999998,28.116388771666667,27.66777757,27.17666646166667,0.0,63.0,84.0,126.0,151.2,187.9283333333333,291.8566666666667,414.6416666666667,578.355,763.0683333333333,989.7816666666668,1237.4950000000001,1464.2083333333333,1691.993333333333,1919.7783333333334,2147.563333333333,2374.2766666666666,2600.9900000000002,2847.6316666666667,3095.345,3322.058333333333,3506.771666666666,3671.556666666667,3795.4133333333334,0.0,0.0,0.0,0.0,0.0,0.0,3099.359,9403.971666666666,18913.838,31628.958,47549.331666666665,66674.95899999999,85906.481,105138.00299999998,124369.52500000001,143601.04700000002,162832.569,182064.09100000001,201295.613,220527.135,236681.79563333336,249631.2026,259375.3559,265914.25553333334
1,509.25,515.7519157166666,522.84636015,529.4435823833334,536.29636015,543.9241379333333,550.9158046,556.3138888833333,559.1027777833333,558.6916666666667,555.0638889,548.3138889,539.6583333333334,529.6972222333334,519.7500000000001,514.2444444500001,508.0638888833334,502.7083333333333,498.75833333333327,496.50555555000005,496.22499999999997,494.9638888833333,497.2833333333333,501.0,1.3838178713333333,1.3860610615000002,1.3885996511666667,1.3905853664999999,1.3922608771666667,1.3937232561666668,1.3949541820000002,1.3948655191666666,1.3942472263333334,1.3930591743333334,1.3911768606666666,1.3888134166666666,1.3860399228333333,1.3840837543333333,1.382317506,1.3806082344999997,1.3791479706666667,1.3778083218333332,1.3766033891666665,1.37555039,1.3747653886666666,1.374997512,1.3758183801666666,1.3773774933333334,80.41499996166667,81.35460732166666,81.57377418333333,81.63766322,81.66682978,81.68377413666666,80.91766303833333,80.021389135,79.11194455833333,78.15388899833333,77.13333346,76.08305553666668,75.83277772166667,75.76444441333332,75.67749987666666,75.60944415166666,75.58166648000001,75.52972215000001,75.465277755,75.42611105,76.135555435,77.05888892166666,78.02083331166666,79.00361114166667,26.656944196666668,26.171283305,25.91683891166667,25.782394446666668,25.692116643333332,25.614338886666662,25.830727853333332,26.12805545666667,26.534999865,26.988333236666666,27.474166514999997,28.001944393333332,28.268055561666667,28.441666608333332,28.588333198333334,28.719999833333333,28.86527773166667,29.00361096166667,29.120277521666665,29.20194422,28.959444275,28.562499846666668,28.085555288333335,27.551110941666664,3239.1299999999997,2640.846666666667,2043.635,1446.4233333333334,849.2116666666667,252.0,336.0,462.0,607.9283333333333,795.8566666666666,1004.785,1254.6416666666667,1503.4266666666665,1751.14,1998.8533333333335,2245.4950000000003,2491.065,2716.7066666666665,2943.42,3171.205,3379.0616666666665,3545.99,3691.9183333333335,3816.8466666666664,224351.85253333332,179584.19586666665,134688.14689999996,89792.09793333332,44896.04896666666,0.0,3150.927333333333,9507.108333333334,19068.543,31835.231333333333,47807.17333333334,66984.369,86215.891,105447.413,124678.935,143910.457,163141.979,182373.50100000002,201605.02300000002,220836.545,237049.0699166667,250056.34116666668,259858.35874999998,266455.12266666663
2,505.4805555666667,510.00301319999994,515.2919020833333,520.6502354166666,526.1974576333333,532.4807909666666,537.0974576333333,540.1333333333333,542.1222222333333,541.84444445,541.9888889,544.1305555666667,548.3166666666667,553.4972222166666,556.5972222166666,560.70555555,559.9416666666667,555.2111111,549.8333333333334,542.31944445,536.0972222166666,529.8888888833334,526.8999999833333,525.1222222166667,1.3794075201666667,1.3822383185,1.3848528761666667,1.3870158436666664,1.3889087111666667,1.3905272481666666,1.3918081506666666,1.3913935495,1.3909250858333333,1.3901042116666666,1.390216683166667,1.3904783508333336,1.3909299365,1.3924851661666666,1.394403348,1.3963510771666667,1.3971797586666668,1.3975321621666668,1.3971291096666667,1.3961020681666667,1.394411785,1.3933672295,1.3927742620000003,1.3924429601666668,80.086666765,81.08047082166667,81.34685965166666,81.38297059333333,81.38074834,81.41963712166667,80.59213713999999,79.63944416166667,78.650277625,77.58555556333333,76.46333325666667,75.297222265,74.89833338,74.80000019,74.73138919333333,74.68638911666666,74.66555589,74.68250030833333,74.906389045,75.01222235333334,75.79111126833334,76.81583349499999,77.86694463166667,78.96083348666666,27.000555506666668,26.503370993333334,26.241426476666664,26.106426384999995,25.99031546666667,25.891148828333332,26.10614874166667,26.398611130000003,26.790277896666666,27.128333486666666,27.356944485,27.527777818333334,27.378055618333335,27.130555628333337,26.868055666666667,26.681666883333335,26.641389078333333,26.689166736666667,26.889722289999998,27.161666680000007,27.164166615,27.036110963333332,26.842777713333334,26.605833318333335,3256.2766666666666,2653.7066666666665,2051.1366666666668,1448.5666666666666,847.0683333333333,245.57000000000002,327.4266666666667,450.21166666666664,593.9966666666667,778.71,984.4233333333333,1231.0649999999998,1479.8499999999997,1729.7066666666667,1979.5633333333333,2229.42,2479.2766666666666,2730.205,2980.0616666666665,3228.8466666666664,3455.5599999999995,3641.345,3785.1300000000006,3907.9149999999995,224841.1513333333,180021.92633333334,135016.44475,90010.96316666664,45005.481583333334,0.0,3122.9726833333334,9451.199033333332,18984.679050000002,31723.412733333334,47613.07375,66707.98843333333,85885.1841,105062.37976666668,124239.57543333335,143416.7711,162648.2931,181879.8151,201111.3371,220342.8591,236532.10643333333,249516.1001,259294.8401,265868.32643333334
3,524.2027777666667,526.56520715,531.0485404833333,536.8013182666667,543.0707627166666,549.4124293833333,553.0707627166668,554.76944445,554.6638889,556.1027777833334,576.5166666666667,619.0194444333333,685.5444444333333,757.1944444333334,813.4444444333334,886.5694443833332,968.375,1001.3277777833333,996.56944445,986.0388888833332,988.1888888833333,965.4138889333334,908.1999999833333,870.8416666500001,1.3929198688333333,1.394511837166667,1.3961831273333332,1.3974471458333333,1.3987355283333331,1.4001156733333333,1.4007938358333334,1.4001431726666667,1.4002170320000003,1.4006812783333336,1.4006547996666665,1.4005386695000002,1.400831206,1.4016998293333334,1.4025776776666667,1.4028520073333333,1.4032381798333333,1.4039211438333332,1.4039271553333332,1.4033067541666666,1.4022094428333334,1.4016755561666667,1.4012767216666668,1.400614861,79.84333349833334,80.67214225166667,80.89408651000001,80.92908665333334,80.95992000333334,80.908253215,80.13186445333334,79.29416679833334,78.17888916833333,77.12222232833334,76.04694432166666,75.034444405,74.76916656333333,74.611944345,74.62777762833333,74.56499983333333,74.51722217000001,74.554999945,74.711111005,74.74333311666666,75.61083301833334,76.73944413833334,77.900833235,78.96666670666666,26.229999955,25.82467509,25.600230588333336,25.47939731166667,25.420230621666665,25.379119576666668,25.621619600000002,25.902777781666668,26.122777816666666,26.317443448333332,26.507443373333334,26.704943268333334,26.65022105,26.509665583333334,26.479387806666665,26.479166525,26.458888743333333,26.418888793333334,26.567777678333332,26.72916655666667,26.645277691666667,26.47277767,26.300555494999998,26.126388910000003,3328.488333333333,2708.133333333333,2088.85,1469.5666666666666,871.2833333333334,252.0,336.0,462.0,607.9283333333333,795.8566666666666,1004.785,1254.6416666666667,1503.4266666666665,1751.14,1998.8533333333335,2245.4950000000003,2491.065,2716.7066666666665,2943.42,3171.205,3379.0616666666665,3545.99,3691.9183333333335,3816.8466666666664,224336.63608333332,179599.69206666667,134699.76905,89799.84603333334,44899.92301666667,0.0,3150.927333333333,9507.108333333334,19068.543,31835.231333333333,47807.17333333334,66984.369,86215.891,105447.413,124678.935,143910.457,163141.979,182373.50100000002,201605.02300000002,220836.545,237049.0699166667,250056.34116666668,259858.35874999998,266455.12266666663
4,807.4416666500001,746.6263653333334,689.26247645,637.6263653499999,593.3096986833333,556.1374764666667,559.85136535,562.6555555666667,564.4916666666667,564.6472222166667,562.8472222166666,558.79166665,553.3805555499999,546.6444444333333,538.8499999999999,532.0722222166667,526.0194444499999,521.2277777833333,517.7694444499999,515.3111111166667,514.8916666666665,515.86944445,518.14444445,521.9861111166666,1.4018100275,1.4035937536666667,1.4055087869999998,1.4074953428333334,1.4091752844999998,1.4109080164999999,1.410899108,1.4106663903333334,1.4101947458333335,1.4088750211666667,1.4073702289999999,1.4052323361666668,1.403818493,1.4026794221666667,1.4012972295,1.4003813941666667,1.3996786935,1.3991342583333335,1.3981403506666668,1.3974139908333332,1.3971227830000001,1.3974815186666667,1.3982622991666667,1.3999100576666665,79.89250017666667,81.00604548666666,81.31493445166667,81.37632346333334,81.43576774166667,81.50937874833333,80.7249343,79.73333369333334,78.82722259166667,77.89388921666666,76.9330559,75.94083372833333,75.81888925833333,75.95277784333332,75.98944443666666,75.94749993166667,75.91861112333333,75.84888884166666,75.76249980833333,75.62972219,76.26055552,77.21861118666666,78.13861103,79.22749977,25.79500003833333,25.43961862,25.34711861166667,25.345174259999997,25.378785366666666,25.422951941666668,25.57656302,25.782500011666666,26.016666591666667,26.284444336666667,26.559444401666667,26.88388876,27.052499839999996,27.198888699999998,27.34805548,27.401111046666667,27.46777767,27.51916669666667,27.603611146666665,27.637499910000003,27.368055455,27.048888758333334,26.66333328,26.265555505,3236.3483333333334,2613.85,1970.3516666666665,1347.8533333333332,705.4266666666666,82.92833333333333,165.85666666666665,289.7133333333333,454.4983333333333,640.2833333333333,866.9966666666666,1114.71,1361.3516666666667,1609.0649999999998,1856.778333333333,2103.42,2348.99,2595.6316666666667,2841.2016666666664,3085.7000000000003,3289.27,3471.84,3614.5533333333333,3735.1949999999997,224841.1513333333,180021.92633333334,135016.44475,90010.96316666664,45005.481583333334,0.0,3087.2827833333336,9379.819233333334,18877.60935,31580.65313333333,47488.95058333333,66602.50170000001,85834.0237,105065.5457,124297.06770000001,143528.58969999998,162760.1117,181991.6337,201223.1557,220454.67770000003,236643.92503333333,249627.91869999995,259406.6587,265980.1450333333
5,522.6111111166666,523.93356875,526.0307909666666,528.1474576333334,530.3752354,532.4807909666666,537.0974576333333,540.1333333333333,542.1222222333333,541.84444445,541.9888889,544.1305555666667,548.3166666666667,553.4972222166666,556.5972222166666,560.70555555,559.9416666666667,555.2111111,549.8333333333334,542.31944445,536.0972222166666,529.8888888833334,526.8999999833333,525.1222222166667,1.3983484956666665,1.3973598034999999,1.3963046936666668,1.3946439548333334,1.3927932981666666,1.3905272481666666,1.3918081506666669,1.3913935495,1.3909250858333335,1.3901042116666666,1.390216683166667,1.3904783508333336,1.3909299365,1.3924851661666668,1.394403348,1.3963510771666667,1.3971797586666668,1.3975321621666668,1.3971291096666667,1.3961020681666667,1.3944117850000002,1.3933672295000001,1.3927742619999999,1.3924429601666668,80.29999991333334,81.25602611166667,81.47463713,81.471303615,81.50435923833334,81.41963712166667,80.59213713999999,79.63944416166667,78.650277625,77.58555556333333,76.46333325666666,75.297222265,74.89833338000001,74.80000019,74.73138919333333,74.68638911666666,74.66555589000001,74.68250030833333,74.906389045,75.01222235333333,75.79111126833334,76.815833495,77.86694463166667,78.96083348666667,25.963611175,25.719204461666664,25.684759933333336,25.76031546333333,25.837259925,25.891148828333332,26.10614874166667,26.398611130000003,26.790277896666666,27.128333486666673,27.356944485,27.527777818333334,27.378055618333335,27.130555628333337,26.868055666666667,26.681666883333335,26.641389078333333,26.689166736666667,26.889722289999998,27.16166668,27.164166615,27.036110963333332,26.842777713333334,26.605833318333335,3160.055,2543.9866666666667,1927.9183333333333,1312.9216666666669,697.9250000000001,82.92833333333333,165.85666666666665,289.7133333333333,454.4983333333333,640.2833333333333,866.9966666666666,1114.71,1361.3516666666667,1609.0649999999998,1856.778333333333,2103.42,2348.99,2595.6316666666667,2841.2016666666664,3085.7000000000003,3289.27,3471.84,3614.5533333333333,3735.1949999999997,224429.81825,179674.2378,134755.67835,89837.1189,44918.55945,0.0,3087.2827833333336,9379.819233333334,18877.60935,31580.65313333333,47488.95058333333,66602.50170000001,85834.0237,105065.5457,124297.06770000001,143528.58969999998,162760.1117,181991.6337,201223.1557,220454.67770000003,236643.92503333333,249627.91869999995,259406.6587,265980.1450333333
6,526.21666665,530.5888888666667,536.4722222,542.8138888666667,549.9138888666666,557.4222222,560.5583333166667,562.3722222166667,563.5222222166666,561.9583333333334,556.2537581833333,549.54542485,543.0982026333332,536.8037581833333,529.5315359666666,526.5898693,528.0305555666666,529.1623823,531.0512711833334,532.6401600666667,534.7818267333333,535.2151600666667,534.7262711833333,535.34444445,1.3947712133333334,1.3975261963333334,1.401344258,1.4044583496666665,1.4076472978333332,1.4106105295000002,1.4115945931666667,1.411571966333333,1.4109086798333335,1.4168494238333331,1.4145295821666666,1.4118470063333335,1.4088153495,1.4064685281666665,1.4037969906666667,1.3945781915,1.392959956833333,1.392334549,1.3914226123333335,1.391399402,1.3918151153333334,1.3938938710000002,1.3962682998333333,1.3984705115,79.94611131833334,80.92250022833333,81.32722229333332,81.43250009666667,81.62555565166666,81.67055564333333,80.98500014333334,80.07222224333333,79.09000015333332,79.75555562,78.63547384166667,77.51991829,76.97408506333333,76.677695865,76.3638067,74.51408436666667,74.32499915166666,74.25483901666666,74.24261672666667,74.26483928666666,75.009561675,76.05372862166668,77.10011786333332,78.14222236333333,26.213611134999997,25.756944465,25.541111139999998,25.45138895166667,25.408055591666667,25.37888894166667,25.623055533333332,25.894166713333334,26.20000007333333,26.600277730000002,26.884689413333334,27.197467145,27.325800571666665,27.42552279333333,27.527467098333332,27.53218933833333,27.66777756666666,27.778493143333336,27.823215323333333,27.770715186666667,27.40682640333333,26.98932652666667,26.565993253333332,26.153333276666668,3181.055,2585.9866666666667,1990.9183333333333,1396.9216666666669,802.9250000000002,210.0,292.92833333333334,416.785,582.6416666666668,769.4983333333333,998.355,1247.14,1496.9966666666667,1747.925,1997.7816666666668,2247.6383333333333,2497.4950000000003,2748.4233333333336,2999.351666666667,3242.7783333333336,3445.2766666666666,3625.7033333333334,3764.1300000000006,3880.485,224429.81825,179674.2378,134755.67835,89837.1189,44918.55945,0.0,3096.601,9398.455666666667,18905.564,31617.926000000003,47535.541666666664,66658.41100000001,85889.933,105121.455,124352.977,143584.49899999998,162816.02099999998,182047.54299999998,201279.06500000003,220510.58699999997,236626.87156666664,249537.90246666665,259243.6797,265744.2032666667
7,536.7777777833334,539.6624764666667,543.1735875833333,546.8096987,551.4208098,556.1374764666666,559.85136535,562.6555555666666,564.4916666666667,564.6472222166667,562.8472222166666,558.7916666499999,553.3805555499999,546.6444444333333,538.85,532.0722222166665,526.0194444499999,521.2277777833333,517.7694444499999,515.3111111166667,514.8916666666667,515.8694444500001,518.1444444499999,521.9861111166666,1.4017505738333333,1.4043615028333332,1.4069032716666667,1.4084437431666668,1.409747626,1.4109080164999999,1.410899108,1.4106663903333334,1.4101947458333335,1.4088750211666667,1.4073702289999999,1.4052323361666668,1.403818493,1.4026794221666667,1.4012972295,1.4003813941666667,1.3996786935,1.3991342583333335,1.3981403506666668,1.3974139908333332,1.3971227830000001,1.3974815186666667,1.3982622991666667,1.3999100576666665,79.32333348666667,80.51354541666667,80.95910099666666,81.09937875333334,81.297712005,81.50937874833333,80.7249343,79.73333369333334,78.82722259166667,77.89388921666666,76.9330559,75.94083372833333,75.81888925833333,75.95277784333332,75.98944443666666,75.94749993166667,75.91861112333333,75.84888884166666,75.76249980833333,75.62972219,76.26055552,77.21861118666666,78.13861102999999,79.22749977,25.757777716666666,25.437396431666667,25.398229758333333,25.399618626666665,25.418229733333334,25.422951941666668,25.57656302,25.782500011666666,26.016666591666667,26.284444336666667,26.559444401666667,26.88388876,27.05249984,27.1988887,27.34805548,27.401111046666667,27.467777670000004,27.51916669666667,27.60361114666667,27.637499910000003,27.368055455,27.048888758333334,26.66333328,26.265555505,3296.771666666667,2678.56,2081.3483333333334,1464.2083333333333,866.9966666666666,249.85666666666665,331.7133333333333,455.57,599.355,784.0683333333333,989.7816666666668,1237.495,1486.28,1735.0649999999998,1984.9216666666669,2235.85,2479.2766666666666,2722.7033333333334,2963.986666666666,3204.1983333333333,3423.41,3600.6216666666664,3764.3349999999996,3886.0483333333336,224184.55826666663,179419.65959999998,134564.7447,89709.8298,44854.9149,0.0,3145.4587833333335,9496.171233333334,19052.13735,31759.030799999997,47671.17791666667,66788.5787,85965.77436666666,105142.97003333333,124320.16570000001,143551.6877,162837.53603333334,182069.05803333336,201354.90636666666,220640.75470000002,236884.32836666665,249922.64836666663,259701.38836666662,266329.2010333333
8,527.1305555499999,533.5277777666666,540.3749999833334,546.4555555333333,552.1749999666666,557.4222222,560.5583333166667,562.3722222166666,563.5222222166667,564.06944445,566.7694444499999,573.1777777833333,579.04444445,583.1916666666667,585.0333333333333,586.2555555499999,587.8805555499999,587.3722222166666,588.8583333333333,589.4888888833333,589.9138888833334,588.9027777666666,583.38055555,573.9722222166666,1.4020061845,1.4038860623333334,1.4064084491666666,1.4079441015,1.4096305785,1.4106105294999998,1.4115945931666667,1.4115719663333335,1.4109086798333335,1.4105335706666668,1.4101649235,1.4104007976666668,1.4111800125,1.4136637396666665,1.4166726589999998,1.4197348938333334,1.4228514343333334,1.4257892258333333,1.4274600631666667,1.4277462826666667,1.4284850788333336,1.4289082999999998,1.4288471491666668,1.4281181505000002,80.282777615,81.26999986333334,81.61444432833333,81.63138870499999,81.76555548666667,81.67055564333333,80.98500014333332,80.07222224333334,79.09000015333334,78.136944665,76.96583358,75.89750022999999,75.49527797833333,75.3186114,75.10194467,74.92416665999998,74.84083328333334,74.78749997999999,74.80999993333333,74.87027753333332,75.84138868166667,77.01805547000001,78.180277675,79.259999995,25.83722225833333,25.453055663333334,25.33444455,25.343889046666664,25.372500091666666,25.37888894166667,25.623055533333332,25.894166713333334,26.20000007333333,26.418888895,26.501388833333333,26.552777791666667,26.342222308333334,26.054444386666663,25.733610963333334,25.48888882,25.396944453333333,25.348055505,25.38777764,25.50805556,25.519444503333332,25.526666699999996,25.51777777166667,25.513888835000003,3314.1233333333334,2701.27,2088.4166666666665,1475.5633333333333,863.7816666666668,252.0,334.92833333333334,458.785,602.57,788.355,995.14,1243.925,1493.7816666666668,1743.6383333333333,1993.495,2243.351666666667,2493.2083333333335,2743.065,2992.9216666666666,3243.85,3474.8500000000004,3663.85,3831.85,3957.85,224720.69825,179906.9418,134930.20635,89953.4709,44976.73545,0.0,3053.5594,9312.372466666668,18776.4392,31445.7596,47320.333666666666,66400.1614,85631.6834,104863.20539999999,124094.72740000002,143326.2494,162557.7714,181789.2934,201020.8154,220198.01106666666,236332.93206666666,249262.59940000004,258987.01306666667,265506.17306666664
9,563.6472222166667,555.6192090333333,549.6914312666667,545.8803201666666,543.6886535,542.7164312666667,540.7636534833333,538.7833333333333,538.1083333333333,540.9861111,546.1555555499999,551.8249999999999,565.5583333333334,582.0944444500001,587.7972222166667,586.5138888833334,580.1361111,570.2388888833333,552.7027777666666,532.51666665,523.06666665,517.3083333166667,514.1638888666668,515.0749999666667,1.4283089725,1.4292534281666667,1.429468705,1.4292852306666666,1.4300289151666667,1.4305695528333333,1.4296790833333333,1.4287248443333336,1.4271273875,1.4266038676666666,1.425583740166667,1.4251800904999998,1.4261561745,1.4272398925,1.428560909,1.4289009471666665,1.4290599601666667,1.4288030943333332,1.4275407925,1.4257941188333334,1.4251262731666667,1.4249525908333334,1.4245122568333333,1.4247935895000001,80.20888894333333,81.19104065333333,81.309096145,81.22187404666667,81.15159624,81.24437395833333,80.43270723666667,79.42888893666667,78.42361102833333,77.39361099833333,76.38027772,75.27111096,75.10083332166667,75.12222230833333,75.19805573500001,75.30000008666667,75.37861118500001,75.525277965,75.73055581,75.82750034333334,76.74527827333334,77.93000053833333,79.06638940166665,80.19916706166667,25.42999998,25.330837955000003,25.325282395000002,25.32472685333333,25.335282418333332,25.346115773333334,25.481115838333334,25.61555547333333,25.775555394999998,25.825833141666664,25.838055293333337,25.82972185333333,25.774443965,25.649721855,25.553888670000003,25.599722009999997,25.699444294999996,25.792777666666666,25.910833308333334,26.083333361666664,26.03194440333333,25.961388858333333,25.850833305000005,25.771944469999998,3375.2083333333335,2750.566666666667,2104.925,1480.2833333333335,834.6416666666668,210.0,292.92833333333334,416.785,582.6416666666668,769.4983333333333,998.355,1247.14,1496.9966666666667,1747.925,1997.7816666666668,2247.6383333333333,2497.4950000000003,2748.4233333333336,2999.351666666667,3242.7783333333336,3445.2766666666666,3625.7033333333334,3764.1300000000006,3880.485,223989.56966666668,179322.03893333333,134491.5292,89661.01946666666,44830.50973333333,0.0,3096.601,9398.455666666667,18905.564,31617.926000000003,47535.541666666664,66658.41100000001,85889.933,105121.455,124352.977,143584.49899999998,162816.02099999998,182047.54299999998,201279.06500000003,220510.58699999997,236626.87156666664,249537.90246666665,259243.6797,265744.2032666667
