DAT,predicted_weight_g
1,0.237154928451104
2,0.502862198577864
3,1.39973643314049
4,1.75929395704199
5,1.98642883417979
6,2.28508835894603
7,2.7522244738412
8,2.77595024491757
9,3.53274772886813
10,4.08009967909605
11,4.5881527115664
12,4.87124332144531
13,5.54381076725336
14,5.93982514517057
15,6.47144846622799
16,7.25126974437525
17,8.10676355840725
18,8.7744450161835
19,9.58168886872258
20,10.8895957450717
21,12.9394942744037
22,14.3010458012727
23,16.364492317813
24,18.9760443586631
25,21.0072004263015
26,23.1378980612753
27,25.8299547001352
28,29.472277358783
