,imp
"('일간누적청색광량', 4.0)",0.0003858401608271073
"('일간누적백색광량', 1.0)",0.0011673052619517407
"('일간누적적색광량', 4.0)",0.0012399331733326897
"('일간누적적색광량', 1.0)",0.001846259694521588
"('일간누적청색광량', 3.0)",0.007960339714739938
"('일간누적적색광량', 2.0)",0.009319568683776988
"('일간누적청색광량', 1.0)",0.010717992619815979
"('일간누적백색광량', 2.0)",0.012603508911941482
"('일간누적분무량', 2.0)",0.01295424811642284
"('일간누적적색광량', 3.0)",0.012988088835492828
"('일간누적총광량', 2.0)",0.016890704472674038
"('일간누적총광량', 4.0)",0.024227670156284686
"('일간누적백색광량', 3.0)",0.029182611954404945
"('일간누적분무량', 3.0)",0.03010454999824738
"('일간누적분무량', 1.0)",0.04558785364117351
"('일간누적청색광량', 2.0)",0.04958374646855359
"('일간누적총광량', 3.0)",0.04992311182796081
월간누적청색광량,0.17890324572537258
"('일간누적분무량', 4.0)",0.20921485485508956
"('일간누적백색광량', 4.0)",0.24932371828413943
시간당적색광량,0.2874826049234333
"('일간누적총광량', 1.0)",0.3234055341005814
일간누적청색광량,0.3551276902082322
일간누적적색광량,0.3994440361164359
일간누적분무량,0.5588824042223143
일간누적총광량,0.9367542527993695
ec관측치,1.0611411588524577
dark,1.1373791881734647
co2관측치,1.3141820673177718
water,1.4264567068372282
diff_temp,1.5624032624479955
시간당청색광량,1.598720482515176
시간당총광량,1.611923529293998
시간당분무량,1.8023735289023128
시간당백색광량,2.0727252826085043
내부습도관측치,2.5135446108611834
내부온도관측치,3.9776843620582025
일간누적백색광량,5.994151227822203
월간누적백색광량,9.780967594043641
월간누적적색광량,14.841606331534535
월간누적분무량,21.828255203522854
DAT,23.661263788281413
