DAT,predicted_weight_g
0,1.003079388
0,1.426150042
0,0.970992594
0,1.001609894
0,1.09065808
0,1.396433573
0,2.42657477
0,0.919549848
0,0.730273147
0,0.38399183
0,0.648190444
0,0.749220464
0,0.600849357
0,0.590893538
0,0.809134005
0,0.687970375
0,0.987021292
0,0.775187232
0,1.291973584
0,0.348264431
0,0.743250843
0,-0.147022745
0,1.050543585
0,0.858137941
1,-2.150479195
1,1.625115377
1,0.61071408
1,1.384484246
1,0.831834788
1,-0.942345401
1,1.695731211
1,0.95181627
1,1.672513497
1,1.690208519
1,1.471746845
1,1.65750033
1,1.200417866
1,1.028400557
1,0.953651166
1,1.157969454
1,0.921616503
1,0.959370615
1,0.55719636
1,1.165467776
1,1.118424151
1,0.927968426
1,0.539905027
1,1.222144097
2,1.800410741
2,2.222649895
2,1.577251753
2,1.841935297
2,1.787136074
2,1.781523708
2,1.815338962
2,2.201735196
2,1.746485244
2,1.993562637
2,1.897982719
2,1.809092081
2,1.946294081
2,1.726102261
2,1.787528231
2,1.885670087
2,1.42913466
2,1.568965184
2,1.049981797
2,1.970724261
2,1.841627918
2,1.89970674
2,2.255556876
2,1.874536392
3,1.895877503
3,2.419276281
3,2.012218988
3,1.882944826
3,2.006090782
3,1.875746155
3,1.831488684
3,2.283002058
3,2.551738665
3,2.66002874
3,2.896257826
3,3.003479665
3,2.816117836
3,2.386168698
3,2.375771334
3,2.617014885
3,2.564806272
3,2.446728087
3,2.489747455
3,1.315203813
3,1.964532586
3,2.53740198
3,1.203474225
3,2.299864342
4,-0.043411112
4,2.714486652
4,0.570402262
4,3.801228538
4,1.066050622
4,4.343154093
4,1.006992226
4,2.907211307
4,2.986890241
4,2.618234555
4,2.050205843
4,2.471018409
4,2.562156772
4,1.961401392
4,2.199436791
4,2.230753559
4,3.193566681
4,2.990976629
4,2.988632656
4,6.750801514
4,4.83544661
4,6.185523587
4,2.330499477
4,1.436673378
5,0.883108248
5,1.033831192
5,-0.042015376
5,2.580939133
5,2.692920048
5,2.745103795
5,4.350646056
5,4.219941446
5,3.394957201
5,3.509165895
5,3.894689388
5,3.631611624
5,3.180946099
5,2.917507875
5,2.775380059
5,3.680824417
5,3.358813413
5,3.407986276
5,3.830751502
5,3.706319016
5,3.668597132
5,3.641943377
5,3.607396698
5,3.483145009
6,3.708715592
6,4.026083933
6,3.921220091
6,3.44493146
6,2.620743652
6,4.207473266
6,5.276375404
6,4.269889073
6,4.852474001
6,5.390016189
6,4.987654658
6,4.983916699
6,4.594203193
6,4.52198265
6,4.365778448
6,4.587631115
6,4.448092306
6,4.45233674
6,4.768421429
6,4.491281931
6,4.696611672
6,4.39724988
6,4.348453265
6,4.086761957
7,4.16836393
7,4.807304091
7,4.485095051
7,4.330681433
7,4.197094508
7,4.414988413
7,5.305813098
7,4.838984317
7,4.917758198
7,5.17079308
7,5.683901805
7,4.913076755
7,4.706996868
7,4.54487449
7,4.76893152
7,4.479480559
7,4.456587112
7,4.59467724
7,4.671204082
7,4.938256984
7,4.245643773
7,4.848285676
7,4.115715233
7,5.041816148
8,6.055015497
8,5.762971944
8,5.775054768
8,5.203303898
8,5.425938636
8,5.443574556
8,5.835768172
8,6.609724096
8,6.633481329
8,6.628514217
8,6.877549108
8,6.884962646
8,6.690294492
8,6.391741409
8,6.206546357
8,6.515820605
8,6.679291456
8,6.586432898
8,6.158075304
8,6.38019736
8,5.69378323
8,5.869126293
8,5.505962869
8,5.994905956
9,6.683785706
9,6.565372136
9,6.805138299
9,6.385663935
9,6.905399167
9,5.67511227
9,7.626126502
9,8.311077383
9,8.454092015
9,8.885136455
9,8.95920729
9,8.681724427
9,8.291702976
9,7.983508564
9,8.299723504
9,8.134849133
9,7.681615632
9,8.095954425
9,8.29726388
9,7.870800327
9,7.458016075
9,7.723698852
9,7.73153085
9,7.753870831
10,6.659592467
10,9.258125639
10,8.551926016
10,8.392593549
10,7.400570194
10,8.411532672
10,10.68169858
10,10.09946853
10,10.15036265
10,9.290266655
10,9.071231464
10,9.570658368
10,9.290837458
10,9.077092759
10,9.790902616
10,9.040938709
10,9.228395448
10,9.30245018
10,10.25658604
10,9.765799023
10,9.49646038
10,9.222137242
10,9.647316091
10,8.724714721
11,9.895939417
11,9.151884369
11,8.807503982
11,9.090119112
11,9.148534206
11,8.937778101
11,11.07355043
11,11.1630415
11,11.32528966
11,11.35127594
11,11.196819
11,11.37737521
11,11.20058132
11,11.87257968
11,12.34284974
11,11.26304703
11,10.83999942
11,11.02270968
11,11.27308549
11,11.15106636
11,11.08903094
11,9.84917653
11,10.5473761
11,10.23412314
12,14.70651432
12,14.93919264
12,13.8162216
12,15.87446379
12,15.8338972
12,16.08632404
12,13.86123283
12,14.19094086
12,14.75117758
12,14.84438428
12,14.86770009
12,14.91136884
12,15.1607075
12,14.73735689
12,15.8106698
12,15.58853533
12,14.15678224
12,14.39390152
12,14.74071519
12,15.65781389
12,14.93592833
12,14.84376245
12,14.76068749
12,15.12102911
13,20.55012927
13,19.41749152
13,19.45664988
13,20.20659347
13,19.89645198
13,20.16147687
13,18.90893304
13,19.46410422
13,16.69616813
13,16.88534495
13,16.26948183
13,16.81467242
13,14.71278272
13,15.72256059
13,15.77611638
13,15.64989885
13,15.55368894
13,15.95035086
13,16.84289887
13,15.58964992
13,17.34427265
13,16.74727189
13,16.14097206
13,16.09307043
14,14.68976851
14,15.11682507
14,15.60493316
14,16.10356824
14,16.43242363
14,16.24550037
14,19.24203518
14,18.74751408
14,20.22590823
14,19.587389
14,19.61336285
14,19.44414018
14,19.35061335
14,18.22622983
14,18.10470419
14,18.12646725
14,18.02981208
14,18.01804673
14,18.18813247
14,17.14898506
14,18.49022784
14,18.52837712
14,18.93346909
14,17.12750734
15,18.85772951
15,19.05438154
15,20.02562186
15,21.58869012
15,23.48178105
15,24.1130606
15,23.97951687
15,24.34474894
15,23.09968882
15,24.00795566
15,23.1407056
15,24.8408453
15,24.63692287
15,23.30173991
15,23.95340024
15,24.34088244
15,23.99369818
15,23.30952148
15,23.70087492
15,24.1840753
15,24.7246613
15,24.03818602
15,24.4593718
15,25.46912394
16,28.49670145
16,24.08720269
16,24.20215405
16,24.9019439
16,28.46264109
16,26.0298301
16,26.05430614
16,30.07202823
16,27.34157805
16,25.04741687
16,26.81445544
16,26.70496548
16,26.02812883
16,28.03853931
16,26.82686744
16,26.87856379
16,28.00897068
16,27.6412041
16,25.58024411
16,27.36950716
16,25.32508396
16,25.5364094
16,24.9561174
16,26.88070032
17,26.1749747
17,23.74574848
17,24.23009367
17,24.90213573
17,23.78470576
17,25.22834726
17,25.08665081
17,21.9932035
17,22.45860213
17,23.98923391
17,21.45585735
17,23.39530092
17,21.25429264
17,23.01509569
17,25.77894136
17,25.47535463
17,27.24411459
17,23.41844039
17,22.2029441
17,22.96265094
17,20.77146948
17,20.61130853
17,20.7449826
17,20.74385808
18,29.01700246
18,29.60395202
18,25.97869819
18,27.42100746
18,27.82129413
18,27.44279934
18,26.93942816
18,25.12163122
18,25.07545998
18,24.58224064
18,24.37372055
18,23.83176885
18,23.60203331
18,23.74330275
18,24.76722311
18,24.28883622
18,24.92261946
18,24.87576511
18,24.94621199
18,23.25075856
18,23.89819216
18,22.7550124
18,23.75350415
18,22.84389423
19,39.5734963
19,34.09482596
19,31.07433741
19,34.02224522
19,35.52792883
19,40.71064487
19,47.68510004
19,34.42249688
19,33.84838281
19,33.32639134
19,31.85006303
19,32.21258089
19,31.75631067
19,34.21136557
19,34.74197177
19,34.75948348
19,35.46133672
19,34.3270765
19,33.36817819
19,34.87765648
19,32.48493086
19,32.59256058
19,30.73538671
19,32.33054619
20,40.00057865
20,42.24182384
20,39.66654868
20,39.20104695
20,40.43219881
20,43.75086203
20,50.39108986
20,43.80575981
20,46.69322951
20,48.37879047
20,48.66792523
20,48.60643927
20,48.12534752
20,47.95098506
20,43.32450266
20,44.68224455
20,47.1088511
20,47.48182258
20,48.21826841
20,47.49644726
20,42.60217924
20,45.13950451
20,41.88978509
20,41.4795587
21,46.92648508
21,44.79180973
21,46.65602596
21,45.8762585
21,46.3083658
21,47.18975489
21,54.04721339
21,52.68283082
21,57.76559715
21,57.73662575
21,58.65819151
21,58.51745383
21,58.98179021
21,60.74920024
21,60.85571712
21,63.97595321
21,60.83449028
21,62.49679871
21,55.18408102
21,57.00953437
21,59.15715533
21,59.47031492
21,59.96938338
21,62.07839678
22,74.41802884
22,81.92275474
22,83.99782456
22,87.05545706
22,85.42853909
22,84.94854535
22,87.28900308
22,68.86165046
22,60.94060095
22,75.26461235
22,71.3564163
22,67.04188527
22,66.75646168
22,72.03211075
22,69.53941345
22,69.53263927
22,72.93101801
22,69.66665464
22,70.48077311
22,75.03957178
22,70.59433046
22,62.76592001
22,58.21050663
22,54.28069842
23,61.62936246
23,61.98131349
23,61.68355893
23,63.03418633
23,64.49185828
23,64.43009915
23,72.32117604
23,69.38237558
23,76.89364719
23,65.41132581
23,69.96860135
23,68.00825801
23,71.90469295
23,74.69897065
23,76.43796557
23,70.28749018
23,70.43250289
23,71.29529945
23,71.26310496
23,70.21082719
23,71.73887687
23,72.04983427
23,71.31326013
23,72.58614801
24,86.82644736
24,92.16692977
24,90.77481639
24,97.67162144
24,97.39791859
24,100.1987914
24,90.92044928
24,78.58750918
24,78.43435404
24,71.53952138
24,70.58754116
24,71.45384096
24,70.14763112
24,69.02917703
24,69.29173169
24,70.10000801
24,71.88054718
24,69.56060638
24,70.56833174
24,75.22398755
24,75.79269703
24,75.64656354
24,75.52817721
24,76.23604057
25,92.63844484
25,92.96783581
25,93.25469312
25,94.28685942
25,96.15208658
25,100.4440342
25,98.89835063
25,84.11554111
25,85.33070296
25,84.83203794
25,85.46316593
25,82.37621093
25,84.64035778
25,83.51760558
25,82.78305029
25,78.99841308
25,79.48877222
25,77.53740665
25,77.56954556
25,82.94892867
25,83.69412425
25,82.13290376
25,82.97690526
25,82.24187339
26,99.62846655
26,98.93320066
26,102.3097177
26,101.0457666
26,101.1774528
26,99.92249225
26,89.8408934
26,89.91059912
26,89.1401151
26,91.45154357
26,91.98224431
26,90.60873494
26,91.07355157
26,89.80078328
26,92.23491702
26,93.30912336
26,92.34977141
26,89.63849714
26,87.02019234
26,85.67712781
26,86.82605043
26,83.38792392
26,90.33382297
26,91.66999111
27,115.1262588
27,113.2849742
27,114.1936831
27,114.0277344
27,115.2435992
27,115.4008001
27,116.0266804
27,97.97782622
27,98.81758132
27,93.23647768
27,92.28551316
27,94.72378471
27,87.63676663
27,75.66797646
27,87.3757956
27,90.29529847
27,94.65802876
27,90.55015888
27,88.58898324
27,88.22669498
27,89.73903699
27,89.62495946
27,94.55096665
27,94.70901293
0,2.486981852
0,2.497571672
0,2.52269991
0,1.867929511
0,1.711094208
0,1.809198817
0,1.437363893
0,1.147654874
0,1.559390153
0,0.974986088
0,1.061786671
0,1.059048194
0,0.93820074
0,0.919784243
0,0.787486303
0,0.758143768
0,0.685754882
0,0.549779337
0,0.571426982
0,0.922960172
0,0.847795124
0,0.812115199
0,0.809127957
0,0.398383506
1,1.25467801
1,0.376143815
1,1.622893251
1,1.25125527
1,1.162252936
1,1.163935326
1,1.094242918
1,1.034770996
1,0.995362934
1,1.260514184
1,1.449799211
1,1.45373905
1,1.126676547
1,1.119908115
1,1.889492688
1,2.050325858
1,1.989560381
1,2.168147199
1,1.466249404
1,2.051277531
1,1.936060616
1,1.757770095
1,1.819526702
1,1.511980995
2,2.103652163
2,1.28414623
2,2.159198233
2,2.123566951
2,1.583358129
2,1.609105376
2,0.351490882
2,1.90862988
2,1.744251017
2,1.733519623
2,1.908778141
2,1.849445797
2,1.793528705
2,1.795576131
2,1.782124532
2,1.58411526
2,1.513645595
2,1.376557712
2,1.444100144
2,1.584045311
2,1.814125105
2,1.831401401
2,2.061416625
2,1.81626824
3,3.438230304
3,3.178680336
3,3.361897599
3,3.045678842
3,2.706230427
3,2.673323937
3,1.983303552
3,2.084199501
3,2.154646682
3,1.973937782
3,2.439329138
3,2.179287924
3,3.257649247
3,2.548940743
3,2.86462319
3,2.175438581
3,2.799047427
3,2.81150982
3,1.319674103
3,1.634880254
3,1.53158128
3,1.459133652
3,1.839017195
3,1.799803165
4,3.310174584
4,2.794977167
4,3.058459954
4,3.38690042
4,3.033638812
4,2.770148162
4,2.276234806
4,2.276370044
4,2.393442998
4,2.495158265
4,2.530592282
4,2.436552435
4,2.221426613
4,2.006925414
4,2.210545993
4,2.068555737
4,2.154763117
4,2.041660837
4,1.438921414
4,1.283253342
4,1.764635844
4,1.66793705
4,1.70251049
4,1.762971105
5,3.54933252
5,3.389697436
5,3.211226647
5,3.14882917
5,3.161465741
5,2.8218995
5,2.170526007
5,2.539937812
5,2.212537032
5,2.609663391
5,2.381549078
5,2.807478683
5,2.841364811
5,2.745830726
5,2.827465626
5,3.012849973
5,2.615428032
5,2.973029851
5,2.230808985
5,2.953674378
5,2.978627923
5,3.15708603
5,2.926745655
5,3.271337049
6,4.460135843
6,4.690714774
6,4.079666446
6,4.248965725
6,4.016543525
6,4.273062138
6,3.937161671
6,3.847188458
6,3.731574518
6,3.792082935
6,3.876049217
6,3.904376298
6,3.505605508
6,3.784046861
6,3.648630678
6,3.532770212
6,3.458738467
6,3.519466943
6,3.992799935
6,3.542358866
6,3.871673351
6,3.755714243
6,3.904309599
6,3.772597341
7,3.899727008
7,3.743514618
7,3.786843574
7,3.61780524
7,3.690588895
7,3.585160554
7,3.633788684
7,4.327027375
7,4.150278135
7,4.1849653
7,4.360743608
7,4.346657376
7,4.120754204
7,4.273476622
7,4.06469676
7,4.043809677
7,3.91786937
7,3.818479305
7,3.645900039
7,4.017863518
7,4.230051766
7,4.362256728
7,4.256139538
7,4.368546949
8,4.860140197
8,4.709732076
8,4.263229712
8,4.102128289
8,3.889573306
8,4.104386684
8,5.038529327
8,5.43260742
8,4.910884386
8,5.050343965
8,4.857009631
8,4.965990606
8,4.716094717
8,4.66575576
8,4.792559006
8,5.039239705
8,5.031840659
8,4.794975783
8,4.045587087
8,5.070396351
8,5.062254222
8,5.046248354
8,4.988959534
8,5.076306912
9,5.754717333
9,5.702691477
9,5.599707558
9,5.41904657
9,5.088764689
9,5.532125638
9,6.109598191
9,7.140233156
9,6.571178979
9,6.626932983
9,6.748579064
9,6.62779522
9,6.642534397
9,7.059924157
9,5.722791185
9,6.304027963
9,6.14196108
9,6.632052101
9,6.451458925
9,6.138658071
9,6.54343009
9,6.883847449
9,6.865460669
9,7.077648747
10,7.992603073
10,7.428078922
10,7.132844088
10,6.462993419
10,6.522908412
10,6.192848618
10,7.049757528
10,8.448857812
10,8.176711136
10,7.599846505
10,8.181912058
10,7.593319202
10,7.612178589
10,7.816110462
10,6.731891795
10,7.503609466
10,6.912120345
10,8.252987402
10,6.71841484
10,8.256117741
10,7.730153299
10,8.41748033
10,8.314027379
10,8.491562578
11,8.622446951
11,8.922202507
11,8.19461673
11,8.834315094
11,8.538603476
11,8.523546586
11,9.179257981
11,8.989491905
11,9.283994557
11,9.347535095
11,10.28632291
11,9.797033828
11,9.903902025
11,9.878879682
11,9.582437418
11,9.70355079
11,9.630290701
11,9.684952596
11,9.772532571
11,10.43427429
11,10.01448177
11,10.41533576
11,9.981112398
11,10.67236386
12,11.00942054
12,10.86565249
12,9.954197936
12,10.66238097
12,9.84178349
12,10.42144633
12,11.38481624
12,11.57156618
12,12.25091372
12,12.02709086
12,12.31600297
12,12.31334305
12,12.28404672
12,11.49747856
12,12.10555342
12,11.29918857
12,11.76905148
12,12.16348245
12,11.2884305
12,12.74953933
12,12.89940925
12,12.72361671
12,12.39072107
12,11.72203257
13,12.54535728
13,11.57260766
13,12.42395049
13,12.01891653
13,11.91297728
13,11.69702737
13,13.43385123
13,12.49869301
13,12.88129108
13,13.16247008
