,imp
"('ec관측치', 14)",2.0801273436625792e-05
"('co2관측치', 12)",0.00011058385299504117
"('ec관측치', 1.0)",0.00013172812806233356
"('co2관측치', 22)",0.00021317694714440588
"('내부온도관측치', 4)",0.00036328785717247293
"('일간누적백색광량', 2.0)",0.0005760835294877723
일간누적분무량,0.0006166773523372427
"('일간누적분무량', 8)",0.0006778443009199638
"('일간누적청색광량', 1.0)",0.0008110008888088976
"('co2관측치', 6)",0.0009451928554134915
"('일간누적청색광량', 3.0)",0.0010511832855524229
"('ec관측치', 19)",0.0014964591040609115
"('co2관측치', 17)",0.0015048643303475473
"('일간누적분무량', 9)",0.001603668971906786
"('일간누적적색광량', 3.0)",0.0017958442878508194
"('co2관측치', 18)",0.0019164526758344022
"('co2관측치', 19)",0.0020029131538766864
"('일간누적청색광량', 2.0)",0.0022297196697824238
"('일간누적총광량', 3.0)",0.002623980439075001
"('일간누적분무량', 23)",0.00263020755511156
"('일간누적분무량', 12)",0.002881800759238284
"('내부습도관측치', 2.0)",0.0029378337260115737
"('ec관측치', 2.0)",0.0029661215754996665
"('일간누적분무량', 15)",0.002997688963663422
"('ec관측치', 3)",0.003152354132326956
"('일간누적분무량', 2.0)",0.0031986512071745846
"('ec관측치', 20)",0.003447597074911117
"('ec관측치', 5)",0.0038619430695881977
"('내부온도관측치', 2.0)",0.003945629473340557
"('내부습도관측치', 1.0)",0.004228383363550175
"('일간누적백색광량', 3.0)",0.004406573464742118
"('ec관측치', 6)",0.004970131393460692
"('co2관측치', 13)",0.005177448117826519
"('내부온도관측치', 3.0)",0.005255710642588924
"('ec관측치', 3.0)",0.0057595173479437715
"('co2관측치', 16)",0.00595205853946568
"('일간누적총광량', 2.0)",0.006296570652023466
"('co2관측치', 4)",0.006300918569292189
"('일간누적분무량', 6)",0.006415420137130707
"('co2관측치', 8)",0.006497968338667822
"('일간누적분무량', 20)",0.0065474579737079775
"('일간누적분무량', 1.0)",0.006710979922319042
"('일간누적적색광량', 2.0)",0.006911490759935852
"('일간누적분무량', 7)",0.007216729608676399
"('내부온도관측치', 19)",0.007392139062718281
"('일간누적분무량', 17)",0.008779455369174552
"('co2관측치', 14)",0.009121071621230882
"('ec관측치', 16)",0.010146791888676085
"('co2관측치', 1.0)",0.010355818468480627
"('일간누적분무량', 14)",0.011151514370224483
